Arbeitsstätten, Beschäftigte und weitere Kennzahlen in Wien nach Wirtschaftstätigkeiten 2015;;;;
Abschnitt
(ÖNACE 2008);Arbeitsstätten;Beschäftigte *;Bruttolöhne und -gehälter;Bruttoinvestitionen in Sachanlagen
;;;Mio. EUR;
Insgesamt;96360;635967;23020,849;9993,541
Land- und Forstwirtschaft;.;.;.;.
Bergbau;18;213;17,92;3,699
Herstellung von Waren;3963;58191;2866,047;443,575
Energieversorgung;662;6482;424,863;422,613
Wasserversorgung und Abfallentsorgung;145;3912;185,082;118,423
Bau;6716;51081;1770,469;104,823
Handel;23567;140760;4689,912;653,119
Verkehr;4628;42020;1424,8;774,401
Beherbergung und Gastronomie;9144;63811;982,041;161,394
Information und Kommunikation;8248;54801;2803,247;644,537
Finanz- und Versicherungsleistungen;2262;38569;2460,391;285,321
Grundstücks- und Wohnungswesen;7074;17588;539,728;2911,505
Freiberufliche Dienstleistungen;23779;86922;3072,362;221,672
Sonst. wirtschaftl. Dienstleistungen;5562;69822;1748,543;3247,59
Erziehung und Unterricht;2;.;.;.
Gesundheits- und Sozialwesen;3;.;.;.
Kunst, Unterhaltung und Erholung;16;110;1,357;0,082
Sonstige Dienstleistungen;571;1685;34,087;0,787
Quelle: Statistik Austria – Leistungs- und Strukturstatistik 2015.;;;;
* Beschäftigte im Jahresdurchschnitt.;;;;
Da die Auswahl der Erhebungseinheiten auf Unternehmensebene erfolgt, ist es möglich, dass Arbeitsstätten oder Betriebe außerhalb der eigentlich zu erfassenden Wirtschaftsbereiche tätig sind. Aus diesem Grund sind der Vollständigkeit halber auch Abschnitte angeführt (Erziehung und Unterricht,Gesundheits- und Sozialwesen, Kunst, Unterhaltung und Erholung) die nicht zum eigentlichen Erhebungsbereich (Abschnitte B-N und S95) gehören.;;;;
