Ausländische Direktinvestitionen im Inland seit 2000;;;;
Jahr;Insgesamt (Marktwert);Direktinvestitionen;;
;;Eigenkapital;sonstiges Kapital *;
;;;Forderungen (-);Verbindlichkeiten (+)
;Mio. EUR;;;
Wien;;;;
2000;20365,34;19169;830;2026
2001;23346,14;20597;759;3508
2002;24740,03;21717;886;3909
2003;25954,1;23958;926;2922
2004;29968,43;28542;1384;2811
2005;45145,28;43512;1791;3425
2006;57160,92;50063;1456;8554
2007;75265,6;53508;2128;23886
2008;70095,86;49533;1725;22288
2009;82965,03;59324;2880;26521
2010;84549,25;61457;5113;28205
2011;75307;69024;9242;15525
2012;76992;69311;8497;16178
2013;81437;72272;6483;15648
2014;94294;83928,798814;8055,339273;18421
2015;95390;88431;8429;15387
2016;94479;87753;9777;16503
2017;.;.;.;.
Österreich;;;;
2000;33492,58;31949;1573;3117
2001;39713,37;35749;1346;5310
2002;42810,61;38829;2105;6087
2003;45634,53;40359;1726;7001
2004;51915,2;46793;2236;7358
2005;69976,58;65697;2998;7278
2006;84337,29;75827;3410;11920
2007;110356,07;85041;4874;30190
2008;106189,55;80814;3257;28633
2009;119787,9;90770;4447;33466
2010;118615,46;94460;14907;39062
2011;118119;109745;19156;27530
2012;124600;114993;18569;28176
2013;130026;118072;18618;30573
2014;144844;130790;19981;34036
2015;147329;137077;19782;30034
2016;145119;140064;25958;31013
2017;160996,99;155051,91;25826,69;31771,76
Quelle: Oesterreichische Nationalbank.;;;;
* Sonstiges Kapital umfasst alle Formen konzerninterner Finanzierung (z.B. konzerninterne Kredite).;;;;
** Fortschreibung;;;;
