Inländische Direktinvestitionen im Ausland seit 2000;;;;
Wien;;;;
Jahr;Insgesamt (Marktwert)
in Millionen Euro;Direktinvestitionen in Millionen Euro;;
;;Eigenkapital;sonstiges Kapital **;
;;;Forderungen (+);Verbindlichkeiten (-)
2000;14840,53;13778;1227,216;164,447
2001;18416,72;16925;1645,697;154,151
2002;23061,63;21598;1672,894;208,88
2003;27267,63;25916;1730,31;378,44
2004;31519,73;30747;1065,75;292,89
2005;37166,91;36281;1098,2;212,64
2006;45667,45;42991;4228,523;1551,981
2007;62719,03;60246;4733,125;2259,975
2008;63613,82;60436;6057,219;2878,953
2009;67762,9;65456;7079,654;4772,387
2010;82465,7;75682;13999,017;7215,628
2011;90877;83840;10833;3796
2012;95154;87894;10549;3289
2013;105154;93694;14891;3431
2014;111339;100066;15066;3793
2015;117765;106200;15241;3676
2016;108410;99561;11796;2947
2017;.;.;.;.
Österreich;;;;
Jahr *;Insgesamt (Marktwert)
in Millionen Euro;Direktinvestitionen in Millionen Euro;;
;;Eigenkapital;sonstiges Kapital **;
;;;Forderungen (+);Verbindlichkeiten (-)
2000;26674,5;23871;3099,881;296,165
2001;32350,68;29192;3489,823;331,368
2002;40511,76;36010;4871,661;369,636
2003;44308,27;41634;3260,32;585,78
2004;51248,82;48914;2823,73;488,83
2005;60868,76;58375;2956,17;462,05
2006;80581;74113;10395;3927
2007;101087,36;95254;12530,851;6697,758
2008;106870;97785;15927,873;6842
2009;113307;105739;16415;8847
2010;132142;121494;21678;11030
2011;146510;134525;20139;8155
2012;158250;142692;21380;5822
2013;168421;150311;25123;7013
2014;175874;155957;26531;6614
2015;189304;167689;28293;6678
2016;186975,6;166690,06;25874,31;5588,77
2017;195171,02;177927,22;25156,07;7912,26
Quelle: Oesterreichische Nationalbank.;;;;
* 2017 Österreich: Fortschreibung. 
** Sonstiges Kapital umfasst alle Formen konzerninterner Finanzierung (z. B. konzerninterne Kredite).;;;;
