Wildabschuss und Fallwild in den Jagdgebieten * der Stadt Wien nach Wildarten 2017;;;;
Wildarten;Abschüsse insgesamt;Fallwild (Verluste);;
;;insgesamt;Straßenverkehr;sonstige Verluste
Wild insgesamt;2645;258;139;119
Haarwild;2435;228;122;106
Rotwild;58;5;–;5
Damwild;46;5;3;2
Rehwild;405;136;93;43
Muffelwild;63;4;–;4
Schwarzwild;1466;40;7;33
Hasen;74;21;12;9
Dachse;16;3;1;2
Füchse;229;9;4;5
Marder;37;2;1;1
Sonstiges Haarwild;41;3;1;2
Federwild;210;30;17;13
Quelle: MA 58.;;;;
* Im Stadtgebiet von Wien gibt es 32 Jagdgebiete.;;;;
