Bauwesen in Wien nach Monaten 2017;;;;;;
Monat *;Betriebe;Unselbstständig Beschäftigte;Bezahlte
Arbeitsstunden;Bruttoverdienste;Auftragseingänge;Wert der technischen
Gesamtproduktion
;;;1.000 h;Mio. EUR;;
Jänner;5881;43367;6303;120,9;300,4;185,5
Februar;5880;45126;6311;119,2;376,4;225,1
März;5877;47721;7162;138,4;531;299,9
April;5868;49152;7668;154,1;472,5;322,1
Mai;5864;49274;7511;201,2;560;321
Juni;5874;48592;7145;142,3;461;277,2
Juli;5860;49339;7447;153,4;504,5;301,6
August;5852;49307;7677;152,9;421,5;302,4
September;5861;49213;7423;143,4;595,6;329,9
Oktober;5851;49404;7653;153,9;491,6;335,6
November;5847;49105;7640;236,8;556,4;357,5
Dezember;5842;42931;6602;144,5;554,6;320,7
Quelle: Statistik Austria – Konjunkturstatistik im Produzierenden Bereich (Grundgesamtheit).;;;;;;
* Monatsende, vorläufige Ergebnisse.;;;;;;
