UnselbstÃƒÂ¤ndige BeschÃƒÂ¤ftigung in Wien nach StaatsangehÃƒÂ¶rigkeit seit 2008;;;;;;;;;;;;;;;
StaatsangehÃƒÂ¶rigkeit;Berichtsjahr;;;;;;;;;;;;;;
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;;;
UnselbstÃƒÂ¤ndige BeschÃƒÂ¤ftigungsverhÃƒÂ¤ltnisse;771158;762891;764310;777174;786384;791327;795978;801919;813468;828940;848531;864116;;;
Ãƒâ€“sterreicherInnen;628745;619768;616068;617654;615993;611875;607418;607278;609140;612230;618479;621334;;;
AuslÃƒÂ¤nderInnen;142413;143123;148242;159520;170391;179452;188560;194641;204328;216710;230052;242782;;;
EU;43778;46410;50395;58853;69166;80835;89914;95828;102207;109714;116693;123282;;;
DEU Deutschland;14530;15498;16833;18178;18952;19740;20076;20547;21516;22657;23876;24903;;;
POL Polen;8037;8401;9153;11425;14098;15432;16317;16913;17624;18505;19285;20056;;;
HUN Ungarn;3615;4017;4389;6034;8853;10931;12497;13611;14920;16297;17135;17803;;;
ROU RumÃƒÂ¤nien;3781;4022;4388;4942;5551;6114;8883;10208;11203;12450;13560;14798;;;
Rest;13815;14472;15632;18274;21712;28618;32141;34549;36944;39805;42837;45722;;;
Andere Staaten *;98635;96713;97847;100667;101225;98617;98646;98813;102121;106996;113359;119500;;;
YUG ehemaliges Jugoslawien;44870;41526;39338;37651;35538;33786;31668;29404;27274;25822;24671;23100;;;
TUR TÃƒÂ¼rkei;19055;18653;18930;19272;19040;19017;18552;18123;18208;18767;19331;19715;;;
Rest;34710;36534;39579;43744;46647;45814;48426;51286;56639;62407;69357;76685;;;
Quelle: Hauptverband der ÃƒÂ¶sterreichischen SozialversicherungstrÃƒÂ¤ger.;;;;;;;;;;;;;;;
* Inklusive Personen mit unbekannter StaatsangehÃƒÂ¶rigkeit.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
UnselbstÃƒÂ¤ndige BeschÃƒÂ¤ftigung in Wien nach StaatsangehÃƒÂ¶rigkeit seit 2010;;;;;;;;;;;;;;;
StaatsangehÃƒÂ¶rigkeit;Berichtsjahr;;;;;;;;;;;;;;
;2010;;;2011;;;2012;;;2013;;;2014;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
StandardbeschÃƒÂ¤ftigte insgesamt;764310;393490;383684;777174;393490;383684;786384;399182;387202;791327;402208;389119;795978;404263;391715
Ãƒâ€“sterreicherInnen;616068;306749;310905;617654;306749;310905;615993;306625;309368;611875;304915;306960;607418;302586;304832
AuslÃƒÂ¤nderInnen;148242;86741;72779;159520;86741;72779;170391;92557;77834;179452;97293;82159;188560;101677;86883
EU;50395;;;58853;;;69166;;;80835;;;89914;;
DEU Deutschland;16833;9330;7503;18178;10224;7954;18952;10603;8349;19740;10977;8763;20076;11076;9000
POL Polen;9153;4819;4333;11425;6293;5132;14098;7889;6208;15432;8610;6822;16317;9069;7247
HUN Ungarn;4389;2677;1712;6034;3760;2273;8853;5623;3230;10931;6804;4126;12497;7602;4895
ROU RumÃƒÂ¤nien;4388;1877;2511;4942;2152;2790;5551;2448;3102;6114;2704;3410;8883;4205;4678
Rest;15632;;;18274;;;21712;;;28618;;;32141;;
Andere Staaten *;97847;;;100667;;;101225;;;98617;;;98646;;
YUG ehemaliges Jugoslawien;39338;18877;20462;37651;17981;19669;35538;16924;18614;33786;16119;17667;31668;15046;16621
TUR TÃƒÂ¼rkei;18930;12454;6476;19272;12523;6749;19040;12180;6860;19017;12057;6960;18552;11674;6878
Rest;39579;;;43744;;;46647;;;45814;;;48426;;
Quelle: Hauptverband der ÃƒÂ¶sterreichischen SozialversicherungstrÃƒÂ¤ger.;;;;;;;;;;;;;;;
* Inklusive Personen mit unbekannter StaatsangehÃƒÂ¶rigkeit.;;;;;;;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Anmerkung: Zwischensummen (EU und andere Staaten) aus BALI nach Geschlecht ergeben nur sehr ungefÃƒÂ¤hr HV-Summen;;;;;;;;;;;;;;;
