BevÃƒÂ¶lkerung nach Gemeindebezirken seit 2002 Ã¢â‚¬â€œ Fremde StaatsangehÃƒÂ¶rigkeit;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wien;257537;269909;276807;289865;302794;308719;320645;334011;346097;360634;376563;400911;428213;460163;504197;534532;559327;572834;589015
1. Innere Stadt;2835;2850;2856;2966;3084;3149;3157;3104;3137;3192;3304;3425;3445;3715;3888;4026;4064;4067;4105
2. Leopoldstadt;21061;21465;21852;22340;23028;24128;24747;25572;26313;26574;27791;27599;29556;31513;33387;35159;36050;36061;36695
3. LandstraÃƒÅ¸e;15471;15699;16173;16990;17397;17539;17521;17866;18320;19193;19960;20986;22243;23973;26205;27037;27976;29151;29556
4. Wieden;4670;5018;5212;5535;6036;6182;6527;6808;7005;7284;7462;7961;8501;8864;9864;10251;10655;10776;10803
5. Margareten;11801;12295;12472;12943;13467;13506;13854;14213;14480;15043;15300;16143;16980;17997;19124;19933;20583;20825;20993
6. Mariahilf;5318;5495;5360;5452;5599;5753;5982;6107;6357;6525;6692;7190;7706;8187;8891;9157;9587;9629;9639
7. Neubau;5937;5887;5911;6091;7064;6458;6651;6743;6883;6894;7007;7273;7727;8273;9026;9349;9637;9635;9568
8. Josefstadt;3658;4302;4506;4739;4708;4792;5022;5144;5209;5191;5334;5691;6104;6597;7186;7677;7876;7920;7774
9. Alsergrund;7265;7451;8038;8646;8563;8633;9039;9095;9433;9566;9842;10477;11147;11724;13984;13762;13826;13627;13643
10. Favoriten;25881;27811;28976;31056;33207;34431;36159;38533;40597;43090;45674;50878;54990;58388;63714;68306;72406;75260;78316
11. Simmering;10317;11383;11739;12408;12646;12935;14581;15876;16655;17563;18429;19480;20826;22557;24896;27060;28601;30097;31728
12. Meidling;13315;14121;15097;15874;16836;17295;18106;19222;19921;20904;21927;23095;24864;26757;29287;31369;33219;33763;34095
13. Hietzing;4334;4581;4686;5056;5251;5334;5492;5646;5856;6170;6333;6658;7284;8250;9983;10585;10989;10717;11057
14. Penzing;10612;11311;11312;11893;12401;12634;13163;13691;14150;14768;15552;16757;17888;19312;21966;23110;24020;24408;25095
15. Rudolfsheim-FÃƒÂ¼nfhaus;20730;20907;20799;21035;21709;21780;22187;22686;23254;24125;24566;26140;27595;29419;31770;32901;33458;32801;32593
16. Ottakring;21618;21960;21731;23103;23941;23982;24630;25286;26029;26576;27451;29059;30664;32823;34940;36842;37898;37867;37972
17. Hernals;11396;11566;11811;12402;13051;13058;13069;13272;13332;13576;14057;14847;15763;16887;17948;19001;19708;19838;19940
18. WÃƒÂ¤hring;7943;8138;8266;8696;9087;9335;9637;9923;10024;10090;10381;11020;11505;12368;13508;14067;14584;14467;14596
19. DÃƒÂ¶bling;7873;8367;8617;9037;9426;9846;10254;10564;10874;11462;11900;12619;13313;14268;16133;17222;17939;18574;19101
20. Brigittenau;18078;19439;19690;20200;20878;20931;21151;21970;22653;23858;24522;25754;26866;28716;29942;31683;32699;32803;33509
21. Floridsdorf;10713;11900;12685;13348;14197;14814;16014;17170;18340;19745;21364;23347;25676;28144;31553;34291;37608;40012;42246
22. Donaustadt;10515;11215;11895;12621;13346;14047;15024;16160;17419;18758;20485;22419;24578;27327;31447;34298;36730;39650;42758
23. Liesing;6196;6748;7123;7434;7872;8157;8678;9360;9856;10487;11230;12093;12992;14104;15555;17446;19214;20886;23233
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;
