BevÃƒÂ¶lkerung nach Gemeindebezirken seit 2002 Ã¢â‚¬â€œ Geburtsland Ausland;;;;;;;;;;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Wien;386950;406553;424827;448154;468035;477131;488161;498644;506706;516061;527344;546761;568181;595664;634933;659749;679616;688884;701662
1. Innere Stadt;5045;5031;5019;5091;5190;5215;5185;5085;5105;5089;5139;5207;5107;5374;5546;5644;5667;5609;5613
2. Leopoldstadt;28894;29873;30950;31962;33055;34352;34780;35342;35804;35722;36504;35998;37589;39245;40761;42276;42959;42698;43243
3. LandstraÃƒÅ¸e;23008;23470;24414;25546;26170;26295;26016;26221;26479;27059;27620;28487;29416;30966;33002;33598;34352;35249;35560
4. Wieden;7785;8176;8412;8751;9312;9433;9698;9891;10012;10191;10342;10765;11150;11492;12384;12694;13055;13152;13102
5. Margareten;16307;17096;17927;18841;19546;19609;19843;20005;20055;20350;20358;20903;21544;22424;23338;23949;24429;24500;24483
6. Mariahilf;8180;8435;8435;8662;8928;9067;9263;9298;9344;9368;9486;9914;10362;10737;11384;11651;11990;12042;12031
7. Neubau;8297;8358;8495;8797;9847;9266;9389;9404;9521;9521;9560;9754;10179;10640;11294;11560;11833;11741;11617
8. Josefstadt;5697;6328;6581;6878;6830;6913;7107;7156;7138;7052;7139;7446;7744;8239;8807;9220;9397;9359;9242
9. Alsergrund;10625;10856;11561;12258;12170;12204;12525;12488;12716;12719;12875;13390;13822;14407;16621;16209;16184;15940;15988
10. Favoriten;37689;40701;43380;47138;50434;52356;54118;56409;58142;60023;62070;66594;70080;72783;77591;81261;84830;87039;89652
11. Simmering;16752;18251;19409;20709;21391;21854;23627;24961;25785;26412;26978;27870;28994;30545;32522;34428;35553;36798;38021
12. Meidling;20049;21342;23084;24548;25844;26599;27515;28528;29061;29724;30397;31323;32618;34154;36293;38000;39492;39867;39890
13. Hietzing;8811;9027;9106;9495;9715;9789;9874;9973;10040;10266;10296;10511;11062;11914;13599;14082;14282;13985;14255
14. Penzing;16304;17361;17751;18828;19708;20021;20501;20968;21254;21699;22178;23155;24063;25370;27677;28521;29190;29457;30062
15. Rudolfsheim-FÃƒÂ¼nfhaus;25112;25928;26969;28064;29178;29296;29533;29889;30161;30617;30775;32143;33255;34827;36867;37687;37979;37145;36775
16. Ottakring;27133;28302;29220;31467;32950;33322;33971;34348;34712;34888;35354;36675;37895;39736;41586;43153;43785;43437;43331
17. Hernals;14638;15100;15790;16762;17616;17644;17625;17668;17503;17585;17881;18483;19196;20160;21030;21933;22473;22504;22524
18. WÃƒÂ¤hring;11325;11701;12116;12659;13103;13254;13497;13682;13699;13635;13787;14286;14607;15350;16386;16789;17248;17081;17150
19. DÃƒÂ¶bling;14191;14773;15183;15649;16273;16786;17135;17339;17453;17844;18178;18666;19123;19986;21686;22564;23093;23560;24008
20. Brigittenau;24169;26024;27213;28750;29902;30275;30443;30918;31284;32134;32573;33570;34242;35685;36665;38113;38956;38806;39176
21. Floridsdorf;21102;22767;24253;25534;26962;27919;29100;30015;30801;31866;33263;34798;36601;38797;41956;44309;47062;49045;50953
22. Donaustadt;22920;24169;25530;27102;28491;29758;30923;31953;33161;34303;35928;37583;39496;42016;45798;48305;50427;53115;56029
23. Liesing;12917;13484;14029;14663;15420;15904;16493;17103;17476;17994;18663;19240;20036;20817;22140;23803;25380;26755;28957
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;;
