BevÃƒÂ¶lkerung nach StaatsangehÃƒÂ¶rigkeit, Geschlecht und Gemeindebezirken 2020;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerungsstand zum Stichtag 1.1.;;;StaatsangehÃƒÂ¶rigkeit;;;;;
;;;;Ãƒâ€“sterreich;;;Fremde;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Wien;1911191;932291;978900;1322176;632611;689565;589015;299680;289335
1. Innere Stadt;16047;7779;8268;11942;5825;6117;4105;1954;2151
2. Leopoldstadt;105848;52251;53597;69153;33534;35619;36695;18717;17978
3. LandstraÃƒÅ¸e;91680;44434;47246;62124;29488;32636;29556;14946;14610
4. Wieden;33212;16074;17138;22409;10742;11667;10803;5332;5471
5. Margareten;55123;27196;27927;34130;16549;17581;20993;10647;10346
6. Mariahilf;31651;15467;16184;22012;10683;11329;9639;4784;4855
7. Neubau;31961;15453;16508;22393;10685;11708;9568;4768;4800
8. Josefstadt;25021;12474;12547;17247;8297;8950;7774;4177;3597
9. Alsergrund;41884;20025;21859;28241;13411;14830;13643;6614;7029
10. Favoriten;207193;103558;103635;128877;62558;66319;78316;41000;37316
11. Simmering;104434;51348;53086;72706;35254;37452;31728;16094;15634
12. Meidling;97078;47836;49242;62983;30181;32802;34095;17655;16440
13. Hietzing;54040;25241;28799;42983;19933;23050;11057;5308;5749
14. Penzing;93634;45467;48167;68539;32584;35955;25095;12883;12212
15. Rudolfsheim-FÃƒÂ¼nfhaus;76813;38882;37931;44220;21453;22767;32593;17429;15164
16. Ottakring;103117;51334;51783;65145;31167;33978;37972;20167;17805
17. Hernals;57027;27998;29029;37087;17462;19625;19940;10536;9404
18. WÃƒÂ¤hring;51497;24078;27419;36901;16886;20015;14596;7192;7404
19. DÃƒÂ¶bling;73901;34619;39282;54800;25469;29331;19101;9150;9951
20. Brigittenau;86368;42860;43508;52859;25594;27265;33509;17266;16243
21. Floridsdorf;167968;81456;86512;125722;60561;65161;42246;20895;21351
22. Donaustadt;195230;93829;101401;152472;73223;79249;42758;20606;22152
23. Liesing;110464;52632;57832;87231;41072;46159;23233;11560;11673
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
