BevÃƒÂ¶lkerung nach StaatsangehÃƒÂ¶rigkeit der EU, Geschlecht und Gemeindebezirken 2020;;;;;;;;;;
Gemeindebezirk;BevÃƒÂ¶lkerung zum Stichtag 1.1.;;;;;;;;;
;Insgesamt;fremde StaatsangehÃƒÂ¶rigkeit;;;;;;;;
;;insgesamt;;EU;;;nicht EU;;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;absolut;%;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;
Wien;1911191;589015;30,8192640086731;255597;127063;128534;333418;172617;160801;
1. Innere Stadt;16047;4105;25,5811055025862;2035;991;1044;2070;963;1107;
2. Leopoldstadt;105848;36695;34,6676366109893;16222;8170;8052;20473;10547;9926;
3. LandstraÃƒÅ¸e;91680;29556;32,238219895288;14861;7358;7503;14695;7588;7107;
4. Wieden;33212;10803;32,5273997350355;5702;2834;2868;5101;2498;2603;
5. Margareten;55123;20993;38,0839214121147;9757;4856;4901;11236;5791;5445;
6. Mariahilf;31651;9639;30,454014091182;5322;2600;2722;4317;2184;2133;
7. Neubau;31961;9568;29,9364850912049;5434;2668;2766;4134;2100;2034;
8. Josefstadt;25021;7774;31,0699012829223;4248;2160;2088;3526;2017;1509;
9. Alsergrund;41884;13643;32,5732976793047;7693;3659;4034;5950;2955;2995;
10. Favoriten;207193;78316;37,798574276158;27692;14169;13523;50624;26831;23793;
11. Simmering;104434;31728;30,3809104314687;12297;6095;6202;19431;9999;9432;
12. Meidling;97078;34095;35,121242712046;13841;7041;6800;20254;10614;9640;
13. Hietzing;54040;11057;20,460769800148;6125;2862;3263;4932;2446;2486;
14. Penzing;93634;25095;26,8011619710789;11596;5783;5813;13499;7100;6399;
15. Rudolfsheim-FÃƒÂ¼nfhaus;76813;32593;42,4316196477159;13849;7286;6563;18744;10143;8601;
16. Ottakring;103117;37972;36,8241899977695;15517;8043;7474;22455;12124;10331;
17. Hernals;57027;19940;34,9658933487646;9207;4781;4426;10733;5755;4978;
18. WÃƒÂ¤hring;51497;14596;28,3433986445812;7612;3677;3935;6984;3515;3469;
19. DÃƒÂ¶bling;73901;19101;25,8467409101365;8938;4157;4781;10163;4993;5170;
20. Brigittenau;86368;33509;38,7979344201556;11921;6044;5877;21588;11222;10366;
21. Floridsdorf;167968;42246;25,1512192798628;16813;8059;8754;25433;12836;12597;
22. Donaustadt;195230;42758;21,9013471290273;18095;8464;9631;24663;12142;12521;
23. Liesing;110464;23233;21,0321914831981;10820;5306;5514;12413;6254;6159;
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik des BevÃƒÂ¶lkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
