WanderungsstrÃƒÂ¶me nach BundeslÃƒÂ¤ndern seit 2012;;;;;;;;;;
Jahr;Ãƒâ€“sterreich;BundeslÃƒÂ¤nder;;;;;;;;
;;Burgenland;KÃƒÂ¤rnten;NiederÃƒÂ¶sterr.;OberÃƒÂ¶sterr.;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
ZuzÃƒÂ¼ge;;;;;;;;;;
2012;243856;9291;10077;42404;26741;14590;24684;17736;7892;90441
2013;255019;8966;11275;43512;28445;15335;25774;18914;8764;94034
2014;278680;9366;12605;48637;33279;16645;28435;20113;9462;100138
2015;337818;11021;16135;59343;42281;21886;34712;24766;12436;115238
2016;306602;10441;16544;54780;36666;18820;31673;21866;10906;104906
2017;272803;9345;12076;47393;31131;17426;27069;19548;9889;98926
2018;258503;9112;11601;47061;30534;16677;26553;18817;9613;88535
2019;262641;9210;11568;46955;31156;17459;26773;18353;9921;91246
WegzÃƒÂ¼ge;;;;;;;;;;
2012;200059;7292;9601;35626;23151;13282;20791;14839;7350;68127
2013;200291;7261;9828;34150;22328;13798;20283;14216;7104;71323
2014;206356;7430;9848;35636;23378;13587;20719;14894;7418;73446
2015;224751;7357;11938;39830;27019;15715;22666;16056;8117;76053
2016;241926;8625;14862;41273;28187;16586;25358;16658;7748;82629
2017;228173;7456;11048;40623;24378;15292;22790;16374;8077;82135
2018;223202;7266;10044;37309;23582;14969;22135;16769;8272;82856
2019;222028;7063;9611;37467;24406;15337;21751;16680;8354;81359
Saldo;;;;;;;;;;
2012;43797;1999;476;6778;3590;1308;3893;2897;542;22314
2013;54728;1705;1447;9362;6117;1537;5491;4698;1660;22711
2014;72324;1936;2757;13001;9901;3058;7716;5219;2044;26692
2015;113067;3664;4197;19513;15262;6171;12046;8710;4319;39185
2016;64676;1816;1682;13507;8479;2234;6315;5208;3158;22277
2017;44630;1889;1028;6770;6753;2134;4279;3174;1812;16791
2018;35301;1846;1557;9752;6952;1708;4418;2048;1341;5679
2019;40613;2147;1957;9488;6750;2122;5022;1673;1567;9887
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
