Gesamtwanderungssaldo nach Gemeindebezirken seit 2012;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;
;2012;2013;2014;2015;2016;2017;2018;2019
Wien;22314;22711;26692;39185;22277;16791;5679;9887
1. Innere Stadt;13;-91;236;120;87;34;-83;-229
2. Leopoldstadt;148;2477;1743;1175;1349;262;-791;713
3. LandstraÃƒÅ¸e;806;830;1478;1525;193;372;817;-166
4. Wieden;267;427;216;1035;218;238;-35;-117
5. Margareten;337;348;489;460;179;81;-348;-413
6. Mariahilf;714;493;334;636;165;209;-231;-189
7. Neubau;142;435;434;587;83;142;-209;-415
8. Josefstadt;332;300;192;462;407;64;-208;-481
9. Alsergrund;486;452;226;2141;-508;-228;-628;-197
10. Favoriten;3894;3415;2577;4492;2470;3183;1589;2287
11. Simmering;780;931;1402;1867;2433;821;1199;991
12. Meidling;1002;1184;1209;1726;1519;1529;-51;-701
13. Hietzing;444;668;1037;1803;435;223;-252;357
14. Penzing;1317;1264;1599;2223;606;278;180;607
15. Rudolfsheim-FÃƒÂ¼nfhaus;1701;871;1151;1625;240;-285;-1543;-1074
16. Ottakring;1595;1206;1258;1451;1235;-154;-1199;-998
17. Hernals;736;703;998;479;593;90;-482;-472
18. WÃƒÂ¤hring;535;147;660;998;712;379;-197;-128
19. DÃƒÂ¶bling;722;649;995;1807;687;734;587;1223
20. Brigittenau;362;36;922;-35;690;13;-902;-399
21. Floridsdorf;2149;2261;2672;4006;2399;3606;2472;1895
22. Donaustadt;2959;2788;4146;6805;3398;2360;3530;3728
23. Liesing;873;917;718;1797;2687;2840;2464;4065
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
