WanderungsstrÃƒÂ¶me nach Geschlecht und Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;WanderungsstrÃƒÂ¶me;;;;;;;;
;ZuzÃƒÂ¼ge;;;WegzÃƒÂ¼ge;;;Saldo;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
Wien (1);91246;49301;41945;81359;44559;36800;9887;4742;5145
1. Innere Stadt;936;464;472;805;390;415;131;74;57
2. Leopoldstadt;6604;3534;3070;5471;2844;2627;1133;690;443
3. LandstraÃƒÅ¸e;5268;2731;2537;4432;2428;2004;836;303;533
4. Wieden;2196;1211;985;1740;950;790;456;261;195
5. Margareten;3349;1789;1560;2888;1599;1289;461;190;271
6. Mariahilf;2219;1117;1102;1716;892;824;503;225;278
7. Neubau;2063;1034;1029;1759;842;917;304;192;112
8. Josefstadt;3349;2393;956;3159;2344;815;190;49;141
9. Alsergrund;3752;1812;1940;2679;1335;1344;1073;477;596
10. Favoriten;9813;5571;4242;8469;4857;3612;1344;714;630
11. Simmering;3549;2004;1545;3908;2233;1675;-359;-229;-130
12. Meidling;4519;2459;2060;4112;2240;1872;407;219;188
13. Hietzing;1759;885;874;1633;818;815;126;67;59
14. Penzing;3561;1968;1593;3339;1842;1497;222;126;96
15. Rudolfsheim-FÃƒÂ¼nfhaus;5321;2884;2437;4700;2592;2108;621;292;329
16. Ottakring;5239;2908;2331;4562;2617;1945;677;291;386
17. Hernals;3008;1667;1341;2601;1430;1171;407;237;170
18. WÃƒÂ¤hring;2786;1343;1443;2361;1165;1196;425;178;247
19. DÃƒÂ¶bling;3397;1693;1704;2917;1476;1441;480;217;263
20. Brigittenau;5018;2692;2326;4118;2222;1896;900;470;430
21. Floridsdorf;4884;2654;2230;5286;2829;2457;-402;-175;-227
22. Donaustadt;5627;2893;2734;5600;2936;2664;27;-43;70
23. Liesing;3029;1595;1434;3104;1678;1426;-75;-83;8
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
(1) Summe ohne WanderungsfÃƒÂ¤lle zwischen den Gemeindebezirken.;;;;;;;;;
