BinnenzuzÃƒÂ¼ge aus den BundeslÃƒÂ¤ndern nach Gemeindebezirken seit 2002;;;;;;;;;;;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;;;;;;;;;;;
;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Wien;26751;24590;24905;26016;26988;28778;28370;31129;31255;31629;33780;32320;33764;37175;38765;37032;32011;32876
1. Innere Stadt;316;282;261;273;234;270;244;317;326;288;290;287;337;282;313;278;291;273
2. Leopoldstadt;1597;1564;1396;1417;1888;2130;2221;2473;2395;2518;2265;2166;2347;2451;2425;2182;1920;2038
3. LandstraÃƒÅ¸e;1640;1495;1588;1653;1605;1703;1598;1758;1859;1804;1874;1888;1962;2283;2109;2054;1922;1872
4. Wieden;710;585;585;602;657;683;666;688;752;779;751;721;671;735;819;734;686;650
5. Margareten;1229;1157;1179;1245;1202;1344;1256;1371;1390;1361;1555;1361;1459;1523;1560;1536;1272;1163
6. Mariahilf;787;644;712;757;822;934;836;947;935;767;884;891;823;972;904;794;709;793
7. Neubau;759;753;704;946;765;788;775;870;866;913;867;857;871;850;908;860;802;720
8. Josefstadt;675;692;711;755;745;840;803;859;911;937;948;870;926;1048;1169;1278;1108;877
9. Alsergrund;1105;1091;1176;1164;1350;1472;1310;1471;1500;1414;1498;1414;1512;1382;1481;1289;1160;1414
10. Favoriten;2404;2188;2270;2327;2277;2352;2484;2621;2480;2661;2991;3251;3209;3794;4172;4428;3192;3447
11. Simmering;1122;1040;1106;1125;1165;1443;1398;1385;1307;1308;1343;1269;1479;1656;1442;1387;1390;1298
12. Meidling;1370;1236;1211;1275;1443;1389;1339;1493;1444;1481;1926;1676;1681;1980;2372;2151;1690;1717
13. Hietzing;754;606;635;627;725;710;746;822;842;781;798;797;841;924;876;805;739;750
14. Penzing;1171;1040;1025;1086;1078;1234;1227;1309;1360;1293;1589;1470;1457;1529;1627;1630;1493;1472
15. Rudolfsheim-FÃƒÂ¼nfhaus;1520;1396;1241;1422;1362;1582;1523;1700;1656;1727;2077;1858;1886;2241;2329;2130;1687;1730
16. Ottakring;1455;1371;1479;1451;1503;1475;1655;1680;1693;1858;2095;2015;2026;2299;2589;2260;1772;1870
17. Hernals;920;837;845;941;916;994;932;1010;959;1009;1319;1078;1202;1363;1318;1178;976;957
18. WÃƒÂ¤hring;855;820;866;914;874;984;907;1024;1055;1042;1127;1033;1044;1111;1329;991;990;1071
19. DÃƒÂ¶bling;944;765;829;878;872;941;860;963;1093;1028;1092;1118;1044;1212;1144;1254;1116;1337
20. Brigittenau;1438;1268;1369;1357;1378;1413;1486;1572;1621;1587;1618;1556;1658;1751;1831;1759;1463;1572
21. Floridsdorf;1545;1415;1399;1410;1519;1710;1615;1822;1926;2023;1872;1854;2120;2208;2273;2452;2061;2104
22. Donaustadt;1286;1315;1272;1313;1471;1362;1417;1759;1707;1775;1900;1740;2026;2324;2097;2041;2114;2149
23. Liesing;1149;1030;1046;1078;1137;1025;1072;1215;1178;1275;1101;1150;1183;1257;1678;1561;1458;1602
Quelle: Statistik Austria Ã¢â‚¬â€œ Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;;;;;;;;;
