Kinder in elementaren Bildungs- und Betreuungseinrichtungen nach Gemeindebezirken 2019/20;;;;;
Gemeindebezirk;Insgesamt;Kinder Ã¢â‚¬â€œ davon inÃ¢â‚¬Â¦;;;
;;Kleinkindergruppen;Kindergartengruppen;Hortgruppen;Familiengruppen,
Kindergruppen
Wien;95840;14818;34326;14836;31860
1. Innere Stadt;1150;165;377;235;373
2. Leopoldstadt;5899;849;1709;1018;2323
3. LandstraÃƒÅ¸e;4718;710;1692;581;1735
4. Wieden;1993;242;506;699;546
5. Margareten;1920;245;724;137;814
6. Mariahilf;1609;189;377;551;492
7. Neubau;1340;212;586;139;403
8. Josefstadt;1249;172;274;379;424
9. Alsergrund;1881;301;488;260;832
10. Favoriten;10683;1562;3700;1615;3806
11. Simmering;5123;898;2246;462;1517
12. Meidling;4444;554;1466;698;1726
13. Hietzing;2678;286;714;597;1081
14. Penzing;3818;683;1665;261;1209
15. Rudolfsheim-FÃƒÂ¼nfhaus;3874;708;1440;554;1172
16. Ottakring;4596;817;1667;677;1435
17. Hernals;2332;361;859;511;601
18. WÃƒÂ¤hring;2684;452;1013;476;743
19. DÃƒÂ¶bling;3816;360;1312;936;1208
20. Brigittenau;3798;664;1779;366;989
21. Floridsdorf;8346;1416;3175;1009;2746
22. Donaustadt;11879;1927;4418;1846;3688
23. Liesing;6010;1045;2139;829;1997
Quelle: Statistik Austria Ã¢â‚¬â€œ Kindertagesheimstatistik.;;;;;
Anmerkung: Ohne Kinder bei Tageseltern. Betreute Kinder nach der gefÃƒÂ¼hrten Form der Betreuungsgruppe.;;;;;
