;;;;;;;;;;;
Schultyp;;Ãƒâ€“ster-
reich;Bur-
gen-
land;KÃƒÂ¤rn-
ten;Nieder-
ÃƒÂ¶ster-
reich;Ober-
ÃƒÂ¶ster-
reich;Salz-
burg;Steier-
mark;Tirol;Vor-
arl-
berg;Wien
;;Schulen insgesamt;;;;;;;;;
Schulen insgesamt 1);;6015;289;407;1269;1074;399;904;684;293;696
Allgemein bildende Pflichtschulen insges.;;4576;234;318;999;828;292;691;540;241;433
Volksschulen;;3066;178;236;627;560;183;476;378;164;264
Hauptschulen;;816;13;34;203;193;60;131;74;4;104
Neue Mittelschulen;;934;41;52;198;173;42;163;97;53;115
Sonderschulen;;307;12;23;106;36;23;24;31;16;36
Polytechnische Schulen;;247;12;7;60;52;19;41;32;11;13
AHS insgesamt;;346;11;23;58;48;26;48;25;14;93
darunter mit AHS-Unterstufe;;278;8;18;46;39;19;36;18;10;84
darunter Modellversuch NMS an AHS;;11;0;3;0;0;0;1;0;0;7
Sonst. allgem. bildende (Statut-)Schulen 2);;134;6;3;30;16;6;26;14;2;31
Berufsschulen insgesamt;;157;4;11;25;28;13;20;23;8;25
Gewerbl. u. kaufm. Berufsschulen;;149;4;10;23;26;12;19;22;8;25
Land- u. forstw. Berufsschulen;;8;0;1;2;2;1;1;1;0;0
Berufsbild. mittl. und hÃƒÂ¶here Schulen insg.;;530;24;41;105;101;43;86;48;20;62
Berufsbildende mittl. Schulen insges.;;404;22;31;80;79;32;65;39;14;42
Techn. gewerbl. mittlere Schulen;;141;7;10;19;33;10;16;17;6;23
KaufmÃƒÂ¤nnische mittlere Schulen;;98;8;3;22;15;7;12;11;5;15
Wirtschaftsberufl. mittlere Schulen;;77;5;7;15;13;9;9;6;5;8
Sozialberufliche mittlere Schulen;;18;0;2;8;1;1;4;0;0;2
Land- und forstw. mittlere Schulen;;86;3;9;19;17;7;25;5;1;0
Sonstige berufsbild. (Statut-)Schulen;;71;2;4;12;10;9;10;2;4;18
Berufsbildende hÃƒÂ¶here Schulen insges.;;309;15;24;63;54;27;43;31;13;39
Techn. gewerbl. hÃƒÂ¶here Schulen;;112;5;8;21;21;9;10;15;5;18
KaufmÃƒÂ¤nnische hÃƒÂ¶here Schulen;;109;7;9;22;18;8;16;10;5;14
Wirtschaftsberufl. hÃƒÂ¶here Schulen;;92;5;8;19;15;9;14;7;4;11
Land- und forstw. hÃƒÂ¶here Schulen;;12;0;1;3;2;1;3;1;0;1
Lehrerbildende mittlere Schulen;;4;0;0;0;1;0;1;1;0;1
Lehrerbildende hÃƒÂ¶here Schulen;;38;1;1;8;6;2;7;4;1;8
Schulen im Gesundheitswesen;;246;8;10;46;48;17;39;28;7;43
Akademien im Gesundheitswesen;;2;1;0;0;0;0;0;1;0;0
;;darunter ÃƒÂ¶ffentliche Schulen;;;;;;;;;
Schulen zusammen;;5326;261;375;1154;966;354;823;627;270;496
Allgemein bildende Pflichtschulen insges.;;4389;229;304;975;808;287;674;531;232;349
Volksschulen;;2957;177;229;611;549;181;464;374;159;213
Hauptschulen;;769;10;33;198;181;58;130;73;4;82
Neue Mittelschulen;;880;37;48;193;165;39;159;95;50;94
Sonderschulen;;294;12;20;106;36;22;22;28;14;34
Polytechnische Schulen;;242;12;7;59;52;19;40;32;11;10
AHS insgesamt;;268;8;20;47;34;20;41;17;12;69
darunter mit AHS-Unterstufe;;218;6;16;38;28;14;30;14;8;64
darunter Modellversuch NMS an AHS;;8;0;2;0;0;0;1;0;0;5
Sonst. allgem. bildende (Statut-)Schulen 2);;14;0;0;0;0;0;14;0;0;0
Berufsschulen insgesamt;;151;4;11;23;28;13;20;21;8;23
Gewerbl. u. kaufm. Berufsschulen;;143;4;10;21;26;12;19;20;8;23
Land- u. forstw. Berufsschulen;;8;0;1;2;2;1;1;1;0;0
Berufsbild. mittl. und hÃƒÂ¶here Schulen insg.;;331;17;30;65;66;23;61;32;11;26
Berufsbildende mittl. Schulen insges.;;289;17;23;58;57;21;52;27;10;24
Techn. gewerbl. mittlere Schulen;;74;4;5;11;15;4;6;7;5;17
KaufmÃƒÂ¤nnische mittlere Schulen;;85;8;3;18;15;7;12;10;5;7
Wirtschaftsberufl. mittlere Schulen;;50;3;6;10;9;4;8;5;2;3
Sozialberufliche mittlere Schulen;;6;0;0;2;1;0;2;0;0;1
Land- und forstw. mittlere Schulen;;86;3;9;19;17;7;25;5;1;0
Sonstige berufsbild. (Statut-)Schulen;;0;0;0;0;0;0;0;0;0;0
Berufsbildende hÃƒÂ¶here Schulen insges.;;239;13;21;44;49;16;36;26;10;24
Techn. gewerbl. hÃƒÂ¶here Schulen;;82;4;7;11;20;3;7;10;5;15
KaufmÃƒÂ¤nnische hÃƒÂ¶here Schulen;;96;7;9;19;17;8;15;10;5;6
Wirtschaftsberufl. hÃƒÂ¶here Schulen;;65;4;6;12;12;4;12;7;1;7
Land- und forstw. hÃƒÂ¶here Schulen;;11;0;1;3;2;1;2;1;0;1
Lehrerbildende mittlere Schulen;;4;0;0;0;1;0;1;1;0;1
Lehrerbildende hÃƒÂ¶here Schulen;;17;1;1;3;3;1;5;1;0;2
Schulen im Gesundheitswesen;;169;2;9;42;28;10;21;24;7;26
Akademien im Gesundheitswesen;;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Q: STATISTIK AUSTRIA, Schulstatistik. Erstellt am 09.12.2014. 1) Bei den einzelnen Schultypen werden jene Schulstandorte, an denen zumindest eine Klasse mit dem entsprechenden Schultyp gefÃƒÂ¼hrt wird, ausgewiesen. Exposituren oder dislozierte Klassen, fÃƒÂ¼r die im Rahmen der Datensammlung keine gesonderten Datenmeldungen ÃƒÂ¼bermittelt wurden, sondern deren DatenbestÃƒÂ¤nde bei der jeweiligen Stammschule inkludiert waren, scheinen nicht gesondert auf. Bei Zwischensummen (allgemein bildende Pflichtschulen, berufsbildende mittlere und hÃƒÂ¶here Schulen) und bei der Gesamtsumme wird jeder Schulstandort nur einmal ausgewiesen, auch bei allfÃƒÂ¤lliger Kombination unterschiedlicher Schultypen an einer Schule. - 2) Inkl. Schulen mit auslÃƒÂ¤ndischem Lehrplan.;;;;;;;;;;;
