SchÃƒÂ¼lerinnen und SchÃƒÂ¼ler in Wien nach Schultypen und Geschlecht 2018/19;;;;;;;Tabelle 1.4.1.1
Schultyp;Insgesamt;SchÃƒÂ¼lerinnen und SchÃƒÂ¼ler;;;;;Tabelle 1.4.1.2
;;Geschlecht;;;;;Tabelle 1.4.1.3
;;SchÃƒÂ¼ler;SchÃƒÂ¼lerinnen;SchÃƒÂ¼ler;SchÃƒÂ¼lerinnen;;
;;absolut;;%;;;
Schultypen insgesamt;241802;123799;118003;51,1985012530914;48,8014987469086;;
Allgemein bildende Pflichtschulen insgesamt;111324;59156;52168;53,1385864683267;46,8614135316733;;
Volksschulen;72926;37876;35050;51,9375805611167;48,0624194388833;;
Neue Mittelschulen;32270;17483;14787;54,1772544158661;45,8227455841339;;
Sonderschulen *;3482;2272;1210;65,2498564043653;34,7501435956347;;
Polytechnische Schulen;2646;1525;1121;57,6341647770219;42,3658352229781;;
Allgemein bildende hÃƒÂ¶here Schulen;62596;29116;33480;46,5141542590581;53,4858457409419;;
Unterstufe;35941;17452;18489;48,5573578921009;51,4426421078991;;
darunter Modellversuch NMS an AHS;3420;1716;1704;50,1754385964912;49,8245614035088;;
Oberstufe **;26655;11664;14991;43,7591446257738;56,2408553742262;;
Sonst. allgemein bild. (Statut-)Schulen ***;5223;2694;2529;51,5795519816198;48,4204480183802;;
Berufsschulen insgesamt;20140;12492;7648;62,025819265144;37,974180734856;;
Gewerbliche und kaufmÃƒÂ¤nnische Berufsschulen;20140;12492;7648;62,025819265144;37,974180734856;;
Berufsbildende mittlere Schulen;7901;4329;3572;54,7905328439438;45,2094671560562;;
Technisch-gewerbliche mittlere Schulen;3224;2502;722;77,605459057072;22,394540942928;;
KaufmÃƒÂ¤nnische mittlere Schulen;3018;1338;1680;44,3339960238569;55,6660039761431;;
Wirtschaftsberufl. mittlere Schulen;1178;415;763;35,2292020373514;64,7707979626486;;
Sozialberufliche mittlere Schulen;354;63;291;17,7966101694915;82,2033898305085;;
Mittl. Schulen fÃƒÂ¼r pÃƒÂ¤d. Assistenzberufe;127;11;116;8,66141732283465;91,3385826771654;;
Sonstige berufsbild. (Statut-)Schulen;1928;716;1212;37,1369294605809;62,8630705394191;;
Berufsbildende hÃƒÂ¶here Schulen;28380;13781;14599;48,5588442565187;51,4411557434813;;
Technisch-gewerbliche hÃƒÂ¶here Schulen;14546;9770;4776;67,1662312663275;32,8337687336725;;
KaufmÃƒÂ¤nnische hÃƒÂ¶here Schulen;7647;2822;4825;36,903360795083;63,096639204917;;
Wirtschaftsberufliche hÃƒÂ¶here Schulen;2789;698;2091;25,02689135891;74,97310864109;;
Land- und forstwirtschaftliche hÃƒÂ¶here Schulen;158;77;81;48,7341772151899;51,2658227848101;;
Bildungsanst. fÃƒÂ¼r ElementarpÃƒÂ¤dagogik;2742;285;2457;10,3938730853392;89,6061269146608;;
Bildungsanstalten fÃƒÂ¼r SozialpÃƒÂ¤dagogik;498;129;369;25,9036144578313;74,0963855421687;;
Bundessportakademien;1141;730;411;63,9789658194566;36,0210341805434;;
Schulen im Gesundheitswesen;3169;785;2384;24,7712212054276;75,2287787945724;;
Quelle: Statistik Austria Ã¢â‚¬â€œ Schulstatistik.;;;;;;;
* Inkl. SchÃƒÂ¼lerinnen und SchÃƒÂ¼ler, die nach dem Lehrplan der Sonderschule in anderen Schulen unterrichtet werden.
** Inkl. Oberstufenrealgymnasien, Aufbau- und Aufbaurealgymnasien und AHS fÃƒÂ¼r BerufstÃƒÂ¤tige.
***  Inkl. Schulen mit auslÃƒÂ¤ndischem Lehrplan.;;;;;;;
