Studierende an Fachhochschulen in Wien nach StaatsangehÃƒÂ¶rigkeit und Geschlecht seit Wintersemester 2002/03;;;;;;;
Wintersemester;Insgesamt;Studierende an Fachhochschulen;;;;;
;;Ãƒâ€“sterreicherInnen;;;AuslÃƒÂ¤nderInnen;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;MÃƒÂ¤nner;Frauen;;MÃƒÂ¤nner;Frauen
2002/03;4341;4221;2778;1443;120;70;50
2003/04;5382;5181;3402;1779;201;115;86
2004/05;6384;6120;3953;2167;264;159;105
2005/06;7085;6740;4239;2501;345;210;135
2006/07;7858;7374;4670;2704;484;289;195
2007/08;8741;8103;4979;3124;638;381;257
2008/09;9380;8526;5000;3526;854;484;370
2009/10;10468;9446;5450;3996;1022;580;442
2010/11;10608;9459;5550;3909;1149;643;506
2011/12;11098;9862;5735;4127;1236;715;521
2012/13;11934;10442;6055;4387;1492;857;635
2013/14;12768;11016;6353;4663;1752;990;762
2014/15;13391;11392;6487;4905;1999;1126;873
2015/16;14175;11917;6686;5231;2258;1252;1006
2016/17;14772;12292;6828;5464;2480;1351;1129
Quelle: Bundesministerium fÃƒÂ¼r Bildung, Wissenschaft und Forschung - unidata.;;;;;;;
