M0003;;;;;;;;vormals C0028
Wohnungsbestand und -nutzflÃƒÂ¤che nach Gemeindebezirken 1991, 2001 und 2011;;;;;;;;
Gemeindebezirk;Wohnungsbestand;;;NutzflÃƒÂ¤che in 1.000 mÃ‚Â²;;;;
;1991;2001;2011;1991;2001;2011;;
Wien;853091;910745;983840;56302;63011,102;69232,854;;
1. Innere Stadt;11259;11515;11740;1093;1146,047;1154,357;;
2. Leopoldstadt;48593;49667;53895;3192;3313,662;3639,673;;
3. LandstraÃƒÅ¸e;48507;48520;51327;3343;3476,509;3681,524;;
4. Wieden;18620;18806;19333;1472;1519,618;1575,008;;
5. Margareten;30507;31475;33081;1822;1950,165;2062,589;;
6. Mariahilf;17264;18198;18545;1280;1362,727;1397,358;;
7. Neubau;17859;18735;19087;1322;1403,943;1454,278;;
8. Josefstadt;14316;14734;14867;1106;1175,37;1189,968;;
9. Alsergrund;25394;25443;26271;1824;1891,912;1954,626;;
10. Favoriten;82589;86764;97092;4783;5303,435;6096,59;;
11. Simmering;33518;40856;46962;2113;2704,617;3175,171;;
12. Meidling;44295;46874;50696;2652;2925,708;3206,431;;
13. Hietzing;29240;30351;31335;2287;2470,267;2615,243;;
14. Penzing;46560;48741;51153;3009;3316,161;3556,129;;
15. Rudolfsheim-FÃƒÂ¼nfhaus;39179;39247;41465;2162;2296,162;2465,021;;
16. Ottakring;53216;53411;57339;2908;3136,172;3438,192;;
17. Hernals;30865;30706;32846;1824;1971,198;2155,734;;
18. WÃƒÂ¤hring;29188;29824;30904;2076;2233,297;2352,654;;
19. DÃƒÂ¶bling;38873;39608;41910;2910;3103,986;3342,496;;
20. Brigittenau;39540;43320;45993;2240;2558,012;2756,96;;
21. Floridsdorf;61535;69579;76990;4088;4884,715;5575,261;;
22. Donaustadt;53029;69539;81341;3840;5359,624;6426,297;;
23. Liesing;39145;44832;49668;2956;3507,795;3961,294;;
Quelle: Statistik Austria Ã¢â‚¬â€œ GebÃƒÂ¤ude- bzw. HÃƒÂ¤user- und WohnungszÃƒÂ¤hlungen 1991Ã¢â‚¬â€œ2001, RegisterzÃƒÂ¤hlung 2011.;;;;;;;;
