M0004;;;;;;;;vormals C0029
Wohnungen nach Hauptwohnsitz und Gemeindebezirken 1991, 2001 und 2011;;;;;;;;
Gemeindebezirk;Wohnungen mit Hauptwohnsitz;;;Wohnungen ohne Hauptwohnsitz;;;;
;1991;2001;2011;1991;2001;2011;;
Wien;738962;770955;837617;114129;139790;146223;;
1. Innere Stadt;9276;8908;8635;1983;2607;3105;;
2. Leopoldstadt;43920;43165;45837;4673;6502;8058;;
3. LandstraÃƒÅ¸e;42134;41665;43472;6373;6855;7855;;
4. Wieden;15725;15185;15875;2895;3621;3458;;
5. Margareten;26221;25563;27603;4286;5912;5478;;
6. Mariahilf;14858;14746;15342;2406;3452;3203;;
7. Neubau;15277;15097;16257;2582;3638;2830;;
8. Josefstadt;11770;11650;11918;2546;3084;2949;;
9. Alsergrund;20477;19877;20799;4917;5566;5472;;
10. Favoriten;71862;75964;85404;10727;10800;11688;;
11. Simmering;30469;36801;42100;3049;4055;4862;;
12. Meidling;39479;40032;43275;4816;6842;7421;;
13. Hietzing;25062;24698;24903;4178;5653;6432;;
14. Penzing;38786;39649;42526;7774;9092;8627;;
15. Rudolfsheim-FÃƒÂ¼nfhaus;34696;32916;35614;4483;6331;5851;;
16. Ottakring;45099;44358;48255;8117;9053;9084;;
17. Hernals;24953;24000;26100;5912;6706;6746;;
18. WÃƒÂ¤hring;24223;22984;24332;4965;6840;6572;;
19. DÃƒÂ¶bling;33157;32939;34247;5716;6669;7663;;
20. Brigittenau;35603;38205;40342;3937;5115;5651;;
21. Floridsdorf;54901;61206;68150;6634;8373;8840;;
22. Donaustadt;45456;61429;72454;7573;8110;8887;;
23. Liesing;35558;39918;44177;3587;4914;5491;;
Quelle: Statistik Austria Ã¢â‚¬â€œ GebÃƒÂ¤ude- bzw. HÃƒÂ¤user- und WohnungszÃƒÂ¤hlungen 1991Ã¢â‚¬â€œ2001, RegisterzÃƒÂ¤hlung 2011.;;;;;;;;
