M0005;;;;;;;;;;vormals C0030
Wohnungen nach NutzflÃƒÂ¤che und Gemeindebezirken 1981, 1991, 2001 und 2011;;;;;;;;;;
Gemeindebezirk;ÃƒËœ WohnnutzflÃƒÂ¤che in mÃ‚Â²;;;;;;;;;
;pro Wohnung;;;;pro BewohnerIn;;;;;
;1981;1991;2001;2011;1981;1991;2001;2011;;
Wien;64;68;70,9090504633863;72,365105;31;33;37,9313508559026;35,3595188968555;;
1. Innere Stadt;101;100;103,75202065559;103,901563404748;51;53;55,7836190246258;54,7935751801637;;
2. Leopoldstadt;65;67;68,2084327580215;69,5415275868839;30;32;34,2314990291714;33,1648684361117;;
3. LandstraÃƒÅ¸e;68;70;72,7259330373215;73,5915991902834;34;36;39,1367792932424;37,8479539082187;;
4. Wieden;80;81;83,147711557458;84,1986141732283;41;42;45,553198398095;43,5391856677524;;
5. Margareten;58;61;63,2961311270195;64,1745100170271;30;32;33,8707374767118;33,6801787242133;;
6. Mariahilf;74;76;76,9441882544419;78,1828966236475;37;39;42,3049589858315;40,833429787234;;
7. Neubau;72;75;77,170033781546;78,2986405855939;37;40;42,5304274814734;42,4031779872747;;
8. Josefstadt;77;80;82,7813733905579;83,1414666890417;40;42;45,0529290853032;42,1131369798971;;
9. Alsergrund;72;74;77,6203149368617;78,0956295975768;37;39;42,737292595773;41,3405360006108;;
10. Favoriten;55;60;62,3410562898215;64,4155425975364;26;29;34,3100285453465;30,9083426503885;;
11. Simmering;61;64;67,4635471862178;68,8727315914489;26;29;35,6969949676492;31,832665473668;;
12. Meidling;57;61;63,5087180255795;64,7728249566724;28;31;34,1277518256014;31,6717399410189;;
13. Hietzing;78;81;85,0617863794639;87,8676063124924;36;40;45,5262861353097;43,2221980800379;;
14. Penzing;62;67;70,9946530807839;72,3141842637445;30;34;38,1227162533689;36,2342024955521;;
15. Rudolfsheim-FÃƒÂ¼nfhaus;53;56;59,6749301251671;61,1176222833717;28;28;31,4568486459651;30,5339477597284;;
16. Ottakring;52;56;60,3065061544704;62,3168169101647;27;29;32,3498766507038;31,4241018245658;;
17. Hernals;57;62;66,76175;68,5051340996168;29;31;34,9461723009815;34,0432208069153;;
18. WÃƒÂ¤hring;68;73;77,7119300382875;78,9259411474601;35;37;41,3657333425971;40,3222121905642;;
19. DÃƒÂ¶bling;74;77;79,910227997207;81,5118404531783;35;38;43,711294152814;40,8674952786684;;
20. Brigittenau;54;58;59,7579374427431;61,4870606315998;27;29;31,7434442868663;29,7580378137147;;
21. Floridsdorf;63;68;71,8666470607457;73,9960088041085;27;32;38,3841495340152;35,028882621803;;
22. Donaustadt;71;75;79,2896351885917;80,9252215198608;28;32;41,7693574252416;36,3238280499817;;
23. Liesing;72;77;79,9825642567263;81,4214183851325;30;34;42,881525753811;38,0807360040654;;
Quelle: Statistik Austria Ã¢â‚¬â€œ GebÃƒÂ¤ude- bzw. HÃƒÂ¤user- und WohnungszÃƒÂ¤hlungen 1981Ã¢â‚¬â€œ2001, RegisterzÃƒÂ¤hlung 2011 (Hauptwohnsitze).;;;;;;;;;;
