Bewohnte Wohnungen in Wien seit 1991;;;;;;;;;;
Jahr;Insgesamt;Bewohnte Wohnungen Ã¢â‚¬â€œ davon mit Ã¢â‚¬Â¦ Personen;;;;;;;BevÃƒÂ¶lkerung;
;;1;2;3;4;5;6 und mehr;;insgesamt;je Wohnung
;;;;;;;Nw (1);Np (2);abs.;
VolkszÃƒÂ¤hlung zum Stichtag;;;;;;;;;;
1991;738962;307215;232950;111789;62891;16082;8035;.;1514532;2,03119074401414
2001;770955;343670;233220;101903;63529;19664;8969;.;1517649;1,98059482571915
Auswertung aus dem lokalen Melderegister zum 1.1.;;;;;;;;;;
2002;.;.;.;.;.;.;.;.;.;.
2003;.;.;.;.;.;.;.;.;.;.
2004;.;.;.;.;.;.;.;.;.;.
2005;817136;364547;239782;106198;66578;24527;15504;112240;1632569;1,99791589160189
2006;823646;369269;240717;106502;67156;24651;15351;111088;1652449;2,00626118502366
Auswertung aus dem Wiener BevÃƒÂ¶lkerungsregister zum 1.1.;;;;;;;;;;
2007;822525;371567;239757;105766;66408;24165;14862;116636;1661246;2,01969058691225
2008;832785;376784;243198;106127;67182;24503;14991;110164;1671221;2,00678566496755
2009;837573;380931;244241;106134;67130;24536;14601;106925;1680135;2,00595649573231
2010;845241;385843;245249;106771;67465;25060;14853;108457;1689995;1,99942383296598
2011;853209;389375;246599;107632;68599;25761;15243;111010;1702855;1,99582400091888
2012;860378;391236;248671;108402;69957;26386;15726;114473;1717084;1,99573210844536
2013;870720;396384;251193;109396;70872;26935;15940;115097;1741246;1,99977719588387
2014;878145;399237;253374;110060;72013;27442;16019;115450;1766746;2,01190691742252
2015;888462;401259;255475;112050;74076;28550;17052;123480;1797337;2,02297565906026
2016;902004;405969;258095;114141;76143;29353;18303;137643;1840226;2,04015281528685
2017;911869;408563;260235;115620;77987;30291;19173;141924;1867582;2,04808146784242
2018;921138;412250;261351;116888;79841;31158;19650;143663;1888776;2,05048103541489
2019;929662;418330;262267;117790;80511;31283;19481;140236;1897491;2,04105470590387
2020;941017;426501;264799;117686;81084;31679;19268;137840;1911191;2,0309845624468
Quelle: Statistik Austria Ã¢â‚¬â€œ GebÃƒÂ¤ude- bzw. HÃƒÂ¤user- und WohnungszÃƒÂ¤hlungen 1991 und 2001; Stadt Wien Wahlen und verschiedene Rechtsangelegenheiten / Wien Digital Ã¢â‚¬â€œ Lokales Melderegister; Stadt Wien Wirtschaft, Arbeit und Statistik Ã¢â‚¬â€œ Wiener BevÃƒÂ¶lkerungsregister, BevÃƒÂ¶lkerungsstatistik der Statistik Austria.;;;;;;;;;;
(1) Nw = Anzahl der Wohnungen mit sechs und mehr gemeldeten Personen.
(2) Np = Gesamtzahl der Personen in Wohnungen mit sechs und mehr gemeldeten Personen.;;;;;;;;;;
