P0072;;;;;;;;;;vormals E0072
Lebendgeborene, Totgeborene und gestorbene SÃƒÂ¤uglinge in Wien nach Geschlecht seit 2000;;;;;;;;;;
Jahr;Lebendgeborene;;;Totgeborene;;;Gestorbene SÃƒÂ¤uglinge;;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;Buben;MÃƒÂ¤dchen;;Buben;MÃƒÂ¤dchen;;Buben;MÃƒÂ¤dchen;
2000;15547;7925;7622;70;43;27;80;40;40;
2001;15167;7769;7398;72;37;35;96;59;37;
2002;16428;8311;8117;79;41;38;94;50;44;
2003;16486;8609;7877;81;33;48;104;57;47;
2004;16856;8740;8116;72;41;31;96;49;47;
2005;16740;8548;8192;84;42;42;96;52;44;
2006;17112;8716;8396;80;41;39;73;42;31;
2007;16885;8614;8271;76;39;37;92;54;38;
2008;17375;9018;8357;80;45;35;96;54;42;
2009;17154;8914;8240;75;32;43;94;52;42;
2010;17989;9280;8709;84;46;38;104;58;46;
2011;18170;9382;8788;76;37;39;96;59;37;
2012;18265;9566;8699;75;41;34;79;45;34;
2013;18691;9865;8826;77;43;34;87;54;33;
2014;19260;9993;9267;81;48;33;87;45;42;
2015;19931;10275;9656;71;43;28;85;49;36;
2016;20804;10638;10166;85;52;33;88;46;42;
2017;20576;10593;9983;97;60;37;84;42;42;
2018;20038;10223;9815;86;42;44;78;49;29;
2019;19935;10287;9648;67;30;37;93;55;38;
Quelle: Statistik Austria Ã¢â‚¬â€œ Statistik der natÃƒÂ¼rlichen BevÃƒÂ¶lkerungsbewegung; Todesursachenstatistik; Berechnung MA 23.;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
neu! Ersetzt Tabelle 6.2.1 (E0006);;;;;;;;;;
