Museumsbesuche in Wien seit 2012;;;;;;;
Einrichtung, EigentÃƒÂ¼mer/Erhalter;2012;2013;2014;2015;2016;2017;2018
;Besuche in 1.000;;;;;;
Bundesmuseen;;;;;;;
Albertina;620,333;631,126;600,121;648,989;707,082;792,471;1004,8
Kunsthistorisches Museum Wien;1260,983;1321,582;1375,451;1303,673;1324,082;1323,825;1650,7
HauptgebÃƒÂ¤ude;633,435;706,444;798,524;767,413;700,901;727,269;901,6
Kunsthistorisches Museum Wien Neue Burg (1);70,152;72,409;72,99;73,95;68,219;57,788;Ã¢â‚¬â€œ
Kaiserliche Schatzkammer Wien;265,633;249,85;234,657;243,674;229,978;250,194;258
Kaiserliche Wagenburg Wien;96,98;81,333;80,944;77,155;130,62;95,533;89,7
Theseustempel Wien;89,77;118,146;103,361;102,881;156,32;93,881;143,8
Theatermuseum Wien;45,561;33,483;41,39;33,744;38,044;38,251;81,6
Weltmuseum Wien (zuvor Museum fÃƒÂ¼r VÃƒÂ¶lkerkunde) (2);59,452;59,917;43,585;4,856;Ã¢â‚¬â€œ;60,909;176
Museum moderner Kunst Stiftung Ludwig Wien;199,602;181,072;186,17;210,006;208,323;228,263;235,7
Naturhistorisches Museum Wien;564,512;754,768;644,1;652,177;706,48;757,173;777,1
HauptgebÃƒÂ¤ude;540,249;726,207;612,203;617,739;669,741;725,241;744,1
Pathologisch-anatomische Sammlung im Narrenturm;24,263;28,561;31,897;34,438;36,739;31,932;33
Ãƒâ€“sterreichische Galerie Belvedere;1138,532;957,802;1075,178;1266,62;1329,489;1427,225;1592,7
Oberes Belvedere;814,211;605,925;642,943;739,468;805,199;948,178;1140,9
Unteres Belvedere;294,447;263,091;318,536;387,486;348,832;337,968;369,6
21er Haus;29,874;32,994;42,617;41,461;89,186;66,93;82,3
Winterpalais (3);.;55,792;71,082;98,205;86,272;74,149;Ã¢â‚¬â€œ
Ãƒâ€“sterreichische Nationalbibliothek;246,538;245,051;268,049;288,775;355,88;439;519,7
Prunksaal;187,377;180,564;205,44;211,201;271,17;337,566;387,2
Esperantomuseum;12,209;14,288;13,958;13,396;15,937;21,256;19,3
Globenmuseum;19,738;20,453;19,901;19,577;23,378;28,367;26,7
Papyrusmuseum;18,561;22,114;21,618;18,963;22,923;25,614;32,6
Sammlungen;8,078;7,099;6,413;5,8;6,533;5,759;11
Palais Mollard;0,575;0,533;0,719;0,512;0,531;.;.
Literaturmuseum;.;.;.;18,405;15,362;17,756;16,7
Haus der Geschichte Ãƒâ€“sterreich (4);.;.;.;.;.;.;24,3
Sonstige (5);.;.;.;0,921;0,046;2,7;1,9
Ãƒâ€“sterreichisches Museum fÃƒÂ¼r angewandte Kunst/Gegenwartskunst;139,172;101,108;102,5;150,637;172,192;153,7;186,8
HauptgebÃƒÂ¤ude;137,147;99,005;100,492;149,097;170,228;152,516;185,8
Expositur GeymÃƒÂ¼llerschlÃƒÂ¶ssel;2,025;2,103;2,008;1,54;1,964;1,2;1
Technisches Museum Wien;316,939;366,544;373,592;358,735;365,633;391,6;383,6
HauptgebÃƒÂ¤ude;314,62;364,044;371,144;356,363;363,144;389,1;380,9
Mediathek;2,319;2,5;2,448;2,372;2,489;2,5;2,7
Landesmuseen;;;;;;;
Wien Museum;271,993;402,405;432,856;454,768;505,022;520,9;595,1
Wien Museum Karlsplatz;156,097;136,359;166,059;166,075;166,01;153,6;172,8
Neidhart Fresken;4,601;4,389;4,514;4,997;4,2;3,8;3,8
RÃƒÂ¶mermuseum;21,711;26,152;27,769;25,8;25,697;29,4;26,6
Otto Wagner Pavillon Karlsplatz (6);Ã¢â‚¬â€œ;5,54;7,1;6,878;8,046;7,9;21,1
Uhrenmuseum;19,933;18,318;18,966;18,502;18,364;20,8;19,4
Beethoven Pasqualatihaus;11,621;11,672;11,771;13,258;14,195;16,4;20,2
Johann StrauÃƒÅ¸ Wohnung;8,813;9,071;7,28;7,764;6,962;5,8;5,6
Pratermuseum;4,044;4,605;4,651;4,47;11,881;7,2;6
Schubert Sterbewohnung;1,21;1,297;1,499;1,578;1,502;1,6;1,7
Haydnhaus;6,997;7,361;7,732;7,394;6,739;6,9;7,1
Schubert Geburtshaus;8,96;8,044;8,503;9,199;8,815;9,3;8
Hermesvilla;17,237;21,361;13,286;12,285;12,325;14,3;16,2
Otto Wagner Hofpavillon Hietzing (7);Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;4,004;3,961;1,816;1,5;8,9
Beethoven Eroicahaus;0,15;0,059;0,12;0,085;0,144;Ã¢â‚¬â€œ;0,1
Beethoven Wohnung Heiligenstadt;10,619;12,185;10,88;10,93;9,584;16,4;20,2
Mozartwohnung;.;135,992;138,722;157,122;176,512;202,1;218,8
Virgilkapelle;.;.;.;4,47;32,23;23,9;21
MUSA Startgalerie;.;.;.;.;.;.;17,6
andere Einrichtungen;;;;;;;
SchÃƒÂ¶nbrunn;5017,2;5094,404;5549,4;5833,3;5899,9;5778,1;6275,6
Schloss SchÃƒÂ¶nbrunn;2824;2868;3021;3602;3719;3796;3978
Tiergarten SchÃƒÂ¶nbrunn;2193,2;2226,404;2528,4;2231,3;2180,9;1982,1;2297,6
Quelle: Statistik Austria Ã¢â‚¬â€œ Kulturstatistik und Tiergarten SchÃƒÂ¶nbrunn GmbH.;;;;;;;
(1) Wegen Bauarbeiten 2018 geschlossen.
(2) Wegen Umbauarbeiten 2016 geschlossen. NeuerÃƒÂ¶ffnung am 25. 10. 2017.
(3) Der Standort wird seit November 2017 nicht mehr betrieben.
(4) ErÃƒÂ¶ffnung am 10. 11. 2018.
(5) Standort, der im Zuge der Museumsregistrierung nicht als Museum klassifiziert wurde.
(6) Wegen Sanierung 2012 geschlossen.
(7) Wegen Restaurierung 2012 und 2013 geschlossen.;;;;;;;
