Subventionen des Bundes (1) fÃƒÂ¼r Denkmalschutz in Wien seit 2000;;;;
Jahr;Insgesamt (2);davon fÃƒÂ¼r Subventionen (3) inÃ¢â‚¬Â¦;;Restaurierungsvorhaben (4)
;;Profanbauten;Sakralbauten;
;1.000 EUR;;;
2000;1188,94682528724;325,284841173521;863,661984113718;76
2001;1355,70387273533;273,547524399904;1082,15634833543;82
2002;1511,408;218,243;1293,165;70
2003;1414,959;440,161;974,798;120
2004;2181,769;832,944;1348,825;213
2005;1870,117;745,856;1124,261;97
2006;1514,658;640,965;873,693;70
2007;1735,156;644,55;1090,606;96
2008;1855,724;1188,093;667,631;84
2009;1765,9;654,307;1111,593;75
2010;1990,87;931,832;1059,038;104
2011;1783,13;646,418;1136,72;80
2012;1588,25;718,97;869,29;93
2013;1543,809;745,248;798,561;81
2014;1932,2;988,2;944;92
2015;1993,721;1174,317;819,404;92
2016;1999,8;977,638;1022,145;74
2017;2487,352;963,572;1523,78;103
2018;2550,354;1152,103;1398,251;82
Quelle: Bundesministerium fÃƒÂ¼r Unterricht, Kunst und Kultur; ab 2013: Bundeskanzleramt, Sektion VI Kultur (Kulturbericht).;;;;
(1) Subventionen, die vom Bundesministerium fÃƒÂ¼r Unterricht, Kunst und Kultur (ÃƒÂ¼berwiegend im Wege des Bundesdenkmalamtes) vergeben wurden.
(2) Ohne FÃƒÂ¶rderungen aus steuerbegÃƒÂ¼nstigten Spenden und sonstigen steuerlichen BegÃƒÂ¼nstigungen, Sponsorgelder, diverse Stipendien und BetrÃƒÂ¤ge fÃƒÂ¼r die Osthilfe.
(3) EinschlieÃƒÅ¸lich Fassadenrestaurierungsaktion sowie Kleindenkmale, Grabungen etc. 
(4) Ohne Objekte der Fassadenrestaurierungsaktion, ohne gefÃƒÂ¶rderte Kleindenkmale.;;;;
