BÃƒÂ¼chereien Wien Ã¢â‚¬â€œ Ausleihen nach Systematik und Geschlecht 2019;;;;;
Systematik nach
Themengruppen;Insgesamt (1);Ausleihen;;;
;;Geschlecht (2);;;Institutionen
;;MÃƒÂ¤nner;Frauen;Ohne Angabe;
Ausleihen insgesamt;5466097;1957158;3378069;41;130829
Belletristik;726888;154276;558391;5;14216
CD-ROMs und DVD-ROMs;4747;2572;2099;0;76
Compact Disks;125316;83019;39487;4;2806
DVDs und Blu-ray Discs;664637;267958;383963;3;12713
Fremdsprachige Literatur;218337;63586;149172;0;5579
HÃƒÂ¶rbÃƒÂ¼cher;417249;151620;258266;0;7363
Kinder- und Jugendliteratur;1920857;788669;1072103;27;60058
Konsolenspiele;20697;12066;8345;0;286
Sach- und FachbÃƒÂ¼cher;1225334;381656;817258;2;26418
Zeitschriftenexemplare;142035;51736;88985;0;1314
Quelle: Stadt Wien Bildung und auÃƒÅ¸erschulische Jugendbetreuung.;;;;;
(1) Physische Medien.
(2) "Ohne Angabe" Neu mit 2019;;;;;
