Archive in Wien 2018;;;;;;
Archive
Ausstattung
BenutzerInnen;Insgesamt;Archive in Wien nach Archivarten;;;;
;;Archive des Bundes;Landesarchive;Stadtarchive;Kirchenarchive;sonstige Archive
Archive insgesamt;24;12;1;0;1;10
BenutzerplÃƒÂ¤tze;367;264;45;0;10;48
Regalmeter;359878;285750;55333;0;8500;10295
Benutzer und Benutzerinnen;7961;4991;949;0;1059;962
Anfragen;23694;14765;2409;0;1634;4886
BeschÃƒÂ¤ftigte (VollzeitÃƒÂ¤quivalente);280;193,4;58;0;3,3;25,3
Quelle: Statistik Austria Ã¢â‚¬â€œ Kulturstatistik.;;;;;;
;;;;;;
;;;;;;
