Wiener Volkshochschulen 2018/19 Ã¢â‚¬â€œ BesucherInnen nach Kurskategorien und Volkshochschulen;;;;;;;;
Volkshochschule;BesucherInnen nach Kurskategorien;;;;;;;
;Insgesamt;Politik, 
Gesellschaft 
und Kultur;Grundbildung und Zweiter Bildungsweg;Naturwissen-
schaften, Technik 
und Umwelt;berufliche und berufsorientierte Bildung;Sprachen;KreativitÃƒÂ¤t und Gestalten;Gesundheit und Bewegung
Insgesamt;122019;2787;25131;139;6378;33269;18408;35907
Urania;6046;410;0;19;22;3493;413;1689
LandstraÃƒÅ¸e;5132;276;0;0;68;2055;678;2055
Polycollege;11086;151;4126;0;297;2787;2176;1549
Wien-West;4248;54;0;0;233;1193;587;2181
Alsergrund, WÃƒÂ¤hring, DÃƒÂ¶bling;8743;308;0;35;154;2310;1731;4205
Favoriten;9427;149;3793;0;186;2767;783;1749
Simmering;3923;26;94;0;197;863;873;1870
Meidling;15861;131;6217;0;3684;2724;1730;1375
Hietzing;5610;291;33;31;199;1809;644;2603
Penzing;5134;180;2;5;147;1254;695;2851
Rudolfsheim-FÃƒÂ¼nfhaus;2327;96;1031;5;177;274;156;588
Ottakring-Hernals;10290;117;3627;12;115;2552;832;3035
Brigittenau;5170;214;734;0;18;2927;519;758
Floridsdorf;11492;57;5210;32;468;2613;705;2407
Donaustadt;6349;175;87;0;113;1907;727;3340
Liesing;6071;118;3;0;167;1269;1028;3486
KÃƒÂ¼nstlerische Volkshochschule;4443;34;174;0;133;0;4102;0
JÃƒÂ¼disches Institut;667;0;0;0;0;472;29;166
Quelle: Die Wiener Volkshochschulen GmbH.;;;;;;;;
