GlaubensangehÃƒÂ¶rige nach Religionsbekenntnis und Gemeindebezirken 2019;;;;;
Gemeindebezirk;Religionsbekenntnis;;;;
;rÃƒÂ¶misch-katholisch;altkatholisch;neuapostolisch (1);Mormonen;buddhistisch (2)
Wien;598339;3585;726;1383;1630
1. Innere Stadt;6766;36;5;11;43
2. Leopoldstadt;29058;167;34;95;142
3. LandstraÃƒÅ¸e;30749;120;29;63;94
4. Wieden;10935;67;9;28;51
5. Margareten;14894;74;21;23;60
6. Mariahilf;9925;36;18;22;49
7. Neubau;10742;31;8;21;55
8. Josefstadt;9277;47;8;6;46
9. Alsergrund;14915;56;7;39;58
10. Favoriten;48787;341;36;125;93
11. Simmering;29529;204;39;83;40
12. Meidling;26576;160;24;61;72
13. Hietzing;23555;151;23;26;75
14. Penzing;32531;207;62;51;98
15. Rudolfsheim-FÃƒÂ¼nfhaus;19183;103;36;38;63
16. Ottakring;27651;199;41;45;71
17. Hernals;18157;108;16;31;47
18. WÃƒÂ¤hring;19777;128;21;36;68
19. DÃƒÂ¶bling;29292;196;19;66;79
20. Brigittenau;20910;134;15;69;57
21. Floridsdorf;56187;365;100;153;82
22. Donaustadt;68431;414;125;192;113
23. Liesing;40512;241;30;99;74
Quelle: Religionsgemeinschaften und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
(1) Stand 28. 6. 2019. 
(2) FÃƒÂ¼r 2019 hatte die Ãƒâ€“sterreichische Buddhistische Religionsgesellschaft (Ãƒâ€“BR) gemeldet, dass 1.630 Personen als Mitglieder registriert sind. Die Ãƒâ€“BR schÃƒÂ¤tzt aber, dass in Wien ca. 13.000 bekennende BuddhistInnen leben und teilte mit, dass ein Beitritt zur Religionsgesellschaft keine Voraussetzung fÃƒÂ¼r ein tatsÃƒÂ¤chliches Bekenntnis zum Buddhismus darstellt.;;;;;
