FriedhÃƒÂ¶fe und Bestattungen in Wien seit 1991 (1);;;;;
Jahr;FriedhÃƒÂ¶fe;;;Bestattungen;
;insgesamt (2);FlÃƒÂ¤che;Grabstellen (3);insgesamt;darunterÃ¢â‚¬Â¦
;;mÃ‚Â²;;;Urnen (4)
1991;56;5756690;775049;22244;3719
1992;56;5756786;775871;22249;3533
1993;55;5756584;776677;22476;3389
1994;55;5765299;777340;21283;3289
1995;55;5894836;777638;20831;3171
1996;55;5923469;777610;20363;3096
1997;55;5921629;777600;20383;3216
1998;55;5758683;777998;19624;3343
1999;55;5754381;778336;18858;3107
2000;55;5741700;778649;18795;3743
2001;55;5721142;778888;19005;4055
2002;55;5728077;779114;17370;3570
2003;54;5726427;779286;17978;3668
2004;54;5726427;779448;17985;3829
2005;54;5726427;779619;16736;3559
2006;54;5912431;725143;16953;3829
2007;54;5616395;651776;16541;3716
2008;54;5544645;639250;14647;3388
2009;55;5680121;637588;15006;3155
2010;55;5680121;574363;14948;3787
2011;55;5710905;499174;14505;3679
2012;55;5710905;519232;14039;3608
2013;55;5446417;521082;14304;3758
2014;55;5501972;479615;13972;3780
2015;55;5501969;493744;13574;3793
2016;55;5418418;431263;14350;4462
2017;55;5419271;431866;13508;4302
2018;55;5392721;328136;13415;4440
2019;55;5392705;349376;12961;4343
Quelle: Stadt Wien Kultur, FriedhÃƒÂ¶fe Wien GmbH sowie konfessionelle Friedhofsverwaltungen.;;;;;
(1) Die Daten beziehen sich immer auf den Jahresendstand.  
(2) Daneben gibt es noch historische FriedhÃƒÂ¶fe, auf denen keine Bestattungen mehr stattfinden (z. B. den Friedhof St. Marx mit 5.635 GrabdenkmÃƒÂ¤lern), 6 Grabmalhaine mit 183 GrabdenkmÃƒÂ¤lern,  12 EinzelgrÃƒÂ¤ber (z.B. von Komponisten in/auÃƒÅ¸erhalb von/ Parkanlagen) sowie 4 historische jÃƒÂ¼dische FriedhÃƒÂ¶fe (z.B. der WÃƒÂ¤hringer Friedhof) mit 62.000 GrÃƒÂ¤bern bzw. GrabdenkmÃƒÂ¤lern. 
(3) Bis 2017 wurden nur die GrÃƒÂ¤ber mit aufrechtem BenÃƒÂ¼tzungsrecht gezÃƒÂ¤hlt, ab 2017 werden jedoch auf den konfessionellen FriedhÃƒÂ¶fen alle bestehenden Grabstellen angegeben. 
(4) Seit dem Jahr 2012 werden auch naturnahe Bestattungsformen auf Naturbestattungsanlagen (Baum-, Strauch-, Rasen- und UrnenparkgrÃƒÂ¤ber) am Zentralfriedhof (in beiden WaldfriedhÃƒÂ¶fen), im Urnengarten der Feuerhalle Simmering und am Friedhof Stammersdorf Zentral erfasst. Dies waren 2012: 154, 2013: 185, 2014: 208, 2015: 250, 2016: 258, 2017: 279, 2018: 354, und 2019: 421 naturnahe Bestattungen.;;;;;
