WohnplÃƒÂ¤tze fÃƒÂ¼r Wohnungslose in Wien seit 2006;;;;;;;;
Jahr;Insgesamt;WohnplÃƒÂ¤tze;;;;;Betten in Nacht-
quartieren und
Nachtnotaufnahmen
sowie Notbetten **;Aufwand fÃƒÂ¼r MaÃƒÅ¸nahmen und Einrichtungen fÃƒÂ¼r Wohnungslose ***
;;Allgemeines
ÃƒÅ“bergangswohnen;Zielgruppenwohnen;"Mutter-Kind"-
Einrichtungen;Betreutes Wohnen
in Wohnungen;Dauerwohnen
(sozial betreute WohnhÃƒÂ¤user) *;;1.000 EUR
2006;2540;980;340;-;700;520;310;21877
2007;3220;1200;320;240;710;750;270;24148
2008;3320;1240;320;270;710;780;290;31847
2009;3470;1230;320;270;880;770;430;41869
2010;4070;1230;380;300;1080;1080;410;39744
2011;4290;1230;380;340;1260;1080;390;45408
2012;4630;1240;430;340;1190;1420;370;47655
2013;4630;1250;425;305;1140;1480;292;49844
2014;4830;1260;430;310;1160;1670;300;53618
2015;5040;1260;420;300;1220;1840;340;61490
2016;5360;1090;420;300;1650;1900;380;66567
2017;5670;1040;410;300;1980;1940;360;75200
2018;6090;710;530;390;2280;1150;500;89661
2019;6110;580;540;370;2400;1150;740;88197
Quelle: Fonds Soziales Wien.;;;;;;;;
* Ab 2012 inklusive "Mobile Wohnbetreuung". Diese soziale Dienstleistung wird als neue Form des Dauerwohnens gemÃƒÂ¤ÃƒÅ¸ "Housing-first-Prinzip" im Regelbetrieb angeboten.
** Die Anzahl der "Betten" betrifft das ganzjÃƒÂ¤hrige Angebot. ZusÃƒÂ¤tzlich wurden von November 2015 bis April 2016 maximal 757 vom Fonds Soziales Wien gefÃƒÂ¶rderte "Betten" als WintermaÃƒÅ¸nahme bereit gestellt. Ab 2018 beinhÃƒÂ¤lt die Kategorie Betten in Nachtquartieren und Nachtnotaufnahmen auch die KundInnen und PlÃƒÂ¤tze der neuen Leistung "ChancenhÃƒÂ¤user" . 
*** Aufwand fÃƒÂ¼r 2015 revidiert gemÃƒÂ¤ÃƒÅ¸ Rechnungsabschluss des Fonds Soziales Wien fÃƒÂ¼r 2015.;;;;;;;;
