Frauen und Kinder in FrauenhÃƒÂ¤usern in Wien seit 2008;;;;;;;;;;;;
Betreuung 
BewohnerInnen 
Aufenthaltsdauer;Berichtsjahr;;;;;;;;;;;
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
FrauenhÃƒÂ¤user;4;4;4;4;4;4;4;4;4;4;4;4
PlÃƒÂ¤tze;166;166;166;166;175;175;175;175;175;175;175;175
Betreute Personen;1071;1154;1215;1281;1353;1182;1374;1363;1260;1264;1256;1252
Frauen;557;583;632;651;690;592;681;672;625;624;647;641
Kinder;514;571;583;630;663;590;693;691;635;640;609;611
Aufenthaltsdauer der Frauen in den FrauenhÃƒÂ¤usern *;;;;;;;;;;;;
Bis zu einer Woche;137;159;193;178;209;170;189;179;161;154;164;162
Bis zu einem Monat;98;96;109;121;147;102;131;123;132;105;118;134
Bis zu sechs Monaten;184;196;207;222;223;182;227;242;203;234;227;211
LÃƒÂ¤nger als sechs Monate;56;48;42;41;34;59;43;38;35;49;44;51
ÃƒËœ Aufenthaltsdauer der Frauen (in Tagen);56;54;50;48;47;55;51;51;52;55;51;53
ÃƒÅ“bergangswohnbereich nach dem Frauenhausaufenthalt;;;;;;;;;;;;
Anzahl der WohnplÃƒÂ¤tze;40;44;52;54;54;54;54;54;54;54;54;54
Anzahl der betreuten Frauen;71;87;98;112;104;103;102;106;99;107;96;109
Anzahl der betreuten Kinder;77;83;109;132;115;100;96;117;113;117;99;95
Aufenthaltstage Frauen und Kinder gesamt;26464;29507;38712;43819;40640;38779;38703;40937;42824;41523;39701;36623
Quelle: Verein Wiener FrauenhÃƒÂ¤user.;;;;;;;;;;;;
* Nicht berÃƒÂ¼cksichtigt sind jene Frauen, die zum Jahreswechsel noch in FrauenhÃƒÂ¤usern wohnhaft sind.
;;;;;;;;;;;;
