Bundesindex der TariflÃƒÂ¶hne seit 2017;;;
Gruppen- und Teilindex;Berichstjahr;;
;2017;2018;2019
;ÃƒËœ 2016 = 100;;
Tariflohnindex  insgesamt;101,4;104,2;107,3
ArbeiterInnen;101,8;104,4;107,6
Angestellte;101,3;104,1;107,3
Ãƒâ€“ffentlich Bedienstete;101,4;103,7;106,9
Insgesamt;;;
Gewerbe und Handwerk;101,6;104,2;107,4
Industrie;101,8;104,6;108
Handel;100,4;103,8;106,5
Bank und Versicherung;101,2;103,7;106,7
Transport und Verkehr;102;104,7;108,4
Tourismus und Freizeitwirtschaft;102;104,6;107,3
Information und Consulting;101,3;104;107
Arbeiterinnen und Arbeiter;;;
Gewerbe und Handwerk;101,7;104,3;107,6
Industrie;101,8;104,7;108,1
Handel;101,4;104;107,1
Bank und Versicherung;101,5;104,2;107
Transport und Verkehr;102,3;105,1;108,9
Tourismus und Freizeitwirtschaft;102;104,3;107,1
Information und Consulting;101,6;104,3;107,6
Angestellte;;;
Gewerbe und Handwerk;101,3;104;107,2
Industrie;101,7;104,6;108
Handel;100,2;103,7;106,3
Bank und Versicherung;101,2;103,6;106,7
Transport und Verkehr;101,7;104,4;108,1
Tourismus und Freizeitwirtschaft;102,3;105,3;108
Information und Consulting;101,3;104;107
Quelle: Statistik Austria Ã¢â‚¬â€œ Bundes-Index.;;;
