Einkommensteuer nach Gemeindebezirken 2017 Ã¢â‚¬â€œ MÃƒÂ¤nner;;;;
Gemeindebezirk;VeranlagungsfÃƒÂ¤lle;EinkÃƒÂ¼nfte;Zu versteuerndes
Einkommen;Festgesetzte
Einkommensteuer
;;Mio. EUR;;
Wien;76877;4908,42008028;4802,71926665;1741,00076979
1. Innere Stadt;2440;263,0206407;255,77149405;112,69878777
2. Leopoldstadt;4194;231,47410245;226,54116251;75,63637025
3. LandstraÃƒÅ¸e;4681;327,58714468;320,8461823;119,24606145
4. Wieden;2507;182,49122762;178,77413231;69,49577722
5. Margareten;2530;120,48066684;118,0833418;37,8467101
6. Mariahilf;2215;132,95221882;130,18203976;46,81053397
7. Neubau;2554;150,32825234;147,50614031;53,35556335
8. Josefstadt;1944;139,97863941;137,47443895;50,69948075
9. Alsergrund;2947;207,21234032;203,25893322;76,70787594
10. Favoriten;4305;189,26541899;185,2271955;54,9938686
11. Simmering;2023;85,93595429;83,72076897;23,76427949
12. Meidling;2839;133,22909764;130,16377448;40,74238773
13. Hietzing;3956;354,94910853;347,30163107;142,14344848
14. Penzing;4132;249,30281168;243,82398969;84,25198469
15. Rudolfsheim-FÃƒÂ¼nfhaus;2421;105,29719742;102,96219617;32,10535421
16. Ottakring;3494;182,16902921;178,18664891;57,67027083
17. Hernals;2618;164,62442396;161,12184143;57,40938682
18. WÃƒÂ¤hring;3698;295,57546001;289,0218034;110,67374834
19. DÃƒÂ¶bling;4894;462,49156455;453,35402493;186,56589746
20. Brigittenau;2008;88,09525669;86,16600442;25,1677185
21. Floridsdorf;4157;217,30904404;212,52910871;69,30103091
22. Donaustadt;5790;318,83332357;311,58941812;105,13451544
23. Liesing;4530;305,81715652;299,11299564;108,57971749
Quelle: Statistik Austria Ã¢â‚¬â€œ Einkommensteuerstatistik.;;;;
Anmerkung: Nur SteuerfÃƒÂ¤lle erfasst. Rundungsdifferenzen nicht ausgeglichen.;;;;
