Einkommensteuer nach Gemeindebezirken 2017 Ã¢â‚¬â€œ insgesamt;;;;
Gemeindebezirk;VeranlagungsfÃƒÂ¤lle;EinkÃƒÂ¼nfte;Zu versteuerndes
Einkommen;Festgesetzte
Einkommensteuer
;;Mio. EUR;;
Wien;130266;7300,21976479;7130,54851816;2445,65389224
1. Innere Stadt;4065;364,14852547;353,81662154;148,59348829
2. Leopoldstadt;7081;353,02433292;344,96200841;110,13469985
3. LandstraÃƒÅ¸e;8173;495,6498669;485,08098386;170,40558827
4. Wieden;4304;270,0827154;263,83151311;96,67572909
5. Margareten;4265;186,41512194;182,57115125;55,03541892
6. Mariahilf;3741;200,75338489;196,37252785;67,04233958
7. Neubau;4326;230,46306385;225,85904644;77,39551103
8. Josefstadt;3475;217,56502541;213,25484617;75,41624692
9. Alsergrund;5194;319,03138953;312,60074041;111,2661057
10. Favoriten;6709;276,54292694;269,65231153;76,70924355
11. Simmering;3199;125,11243857;121,71052013;32,84019479
12. Meidling;4727;204,80203739;199,67246676;59,08680994
13. Hietzing;7029;517,33015879;505,13142653;194,14189237
14. Penzing;7118;373,76621642;364,46711247;118,17579794
15. Rudolfsheim-FÃƒÂ¼nfhaus;4003;160,44106503;156,68272603;45,35827466
16. Ottakring;5943;277,8215648;271,09402735;82,72198686
17. Hernals;4515;245,90034737;240,18334711;80,39921929
18. WÃƒÂ¤hring;6785;456,97722714;446,50691856;161,8615242
19. DÃƒÂ¶bling;8608;670,48572658;655,26253399;256,0076568
20. Brigittenau;3357;137,21995771;134,1103503;37,46127363
21. Floridsdorf;6860;321,41447015;313,84848709;99,3669617
22. Donaustadt;9315;460,94410199;449,92446395;144,21161439
23. Liesing;7474;434,3280996;423,95238732;145,34631447
Quelle: Statistik Austria Ã¢â‚¬â€œ Einkommensteuerstatistik.;;;;
Anmerkung: Nur SteuerfÃƒÂ¤lle erfasst. Rundungsdifferenzen nicht ausgeglichen.;;;;
