Durchschnittliche monatliche Verbrauchsausgaben pro Haushalt in Wien und Ãƒâ€“sterreich 2014/15;;;;
Ausgabengruppe;Wien;;Ãƒâ€“sterreich;
;EUR;%;EUR;%
Verbrauchsausgaben insgesamt;2660;100;2990;100
ErnÃƒÂ¤hrung, Alkoholfreie GetrÃƒÂ¤nke;308;11,5789473684211;353;11,8
ErnÃƒÂ¤hrung;271;10,187969924812;314;10,5
Brot, Getreideprodukte;56,7;2,13157894736842;62,8;2,1
Fleisch;49,6;1,86466165413534;71,4;2,4
Fisch, Meerestiere;10,3;0,387218045112782;10,2;0,3
Milchprodukte, Eier;42,2;1,58646616541353;48,5;1,6
SpeiseÃƒÂ¶l, Fett;8;0,300751879699248;11,1;0,4
Obst;27,2;1,02255639097744;27,6;0,9
GemÃƒÂ¼se;22,3;0,838345864661654;30,3;1
SÃƒÂ¼ÃƒÅ¸waren;21,8;0,819548872180451;25;0,8
Backzutaten, GewÃƒÂ¼rze, Saucen;7,7;0,289473684210526;9;0,3
Rest;25,2;0,947368421052632;18,1;0,699999999999998
Alkoholfreie GetrÃƒÂ¤nke;37,5;1,40977443609023;39,2;1,3
Alkoholische GetrÃƒÂ¤nke, Tabakwaren;67;2,5;67,7;2,3
Alkoholische GetrÃƒÂ¤nke;23,9;0,9;31;1
Tabakwaren;43,1;1,6;36,7;1,2
Bekleidung und Schuhe;135;5,1;147;4,9
Bekleidung, Accessoires;102;3,8;112;3,8
Herrenbekleidung;31,3;1,2;35,6;1,2
Damenbekleidung;51,1;1,9;53,2;1,8
Kinder- u. Babybekleidung;11,6;0,4;13,6;0,5
Rest;8;0,3;9,59999999999999;0,3
Schuhe;32,5;1,2;34,7;1,2
Wohnen, Energie;697;26,2;781;26,1
TatsÃƒÂ¤chlich gezahlte Wohnungsmieten;274;10,3;150;5
Betriebskosten, Sonstige Zahlungen;161;6,1;113;3,8
Energie;110;4,1;140;4,7
Rest;152;5,7;378;12,6
Wohnungsausstattung;164;6,2;210;7
Wohnungseinrichtung;80,6;3;92,7;3,1
Geschirr, Haushaltsartikel;11,8;0,4;12,1;0,4
Waren und Dienstleistungen fÃƒÂ¼r den Haushalt;28,2;1,1;32;1,1
Rest;43,4;1,7;73,2;2,4
Gesundheit;101;3,8;114;3,8
Verkehr;281;10,6;425;14,2
Kommunikation;46,1;1,7;45;1,5
Freizeit, Sport, Hobby;378;14,2;344;11,5
Unterhaltungselektronik, Film-, Foto- und EDV-GerÃƒÂ¤te;12,4;0,5;37,8;1,3
GrÃƒÂ¶ÃƒÅ¸ere GebrauchsgÃƒÂ¼ter;6,9;0,3;7,7;0,3
Sport-, Hobby-, Freizeitartikel, Haustiere, Garten;52,2;2;65,1;2,2
Sport-, Freizeit-, Kulturveranstaltungen;76,7;2,9;67;2,2
Printmedien, Papier-, Schreibwaren;30,2;1,1;31,8;1,1
Urlaubsreisen;166;6,3;134;4,5
Bildung;51,3;1,9;33,4;1,1
CafÃƒÂ©, Restaurant;216;8,1;206;6,9
Sonstiges;214;8;268;9
KÃƒÂ¶rperpflege;72,3;2,7;70,5;2,4
Versicherungen;81,3;3,1;126;4,2
Rest;60,4;2,2;71,5;2,4
Quelle: Statistik Austria Ã¢â‚¬â€œ Konsumerhebung 2014/2015.;;;;
