Nationaler Verbraucherpreisindex 2015 nach COICOP-Gruppen seit 2016;;;;
COICOP-Gruppe;Berichtsjahr;;;
;2016;2017;2018;2019
;ÃƒËœ 2015 = 100;;;
Insgesamt;100,9;103;105,1;106,7
Nahrungsmittel und alkoholfreie GetrÃƒÂ¤nke;100,7;103,1;104,7;105,8
Alkoholische GetrÃƒÂ¤nke und Tabak;101,5;104,8;108,8;109,9
Bekleidung und Schuhe;100,7;102,2;102,8;103,6
Wohnung, Wasser, Energie;100,8;102,6;104,9;107,8
Hausrat und laufende Instandhaltung des Hauses;101,4;102;104,3;105,4
Gesundheitspflege;102,2;103,6;105,9;107,1
Verkehr;98,2;101,1;104;104,3
NachrichtenÃƒÂ¼bermittlung;98,3;97;94,3;91,3
Freizeit und Kultur;101,3;103,7;104,2;105,7
Erziehung und Unterricht;101,2;103,1;105,5;108,3
Restaurants und Hotels;103,3;106,3;109,6;112,8
Verschiedene Waren und Dienstleistungen;101,5;103;105,2;107
Miniwarenkorb;99,4;102,9;107,2;108
Mikrowarenkorb;101,5;105,5;108,2;108,5
Quelle: Statistik Austria Ã¢â‚¬â€œ Verbraucherpreisindex.;;;;
