GemeindestraÃƒÅ¸en nach Gemeindebezirken 2019;;;;;
Gemeindebezirk;Insgesamt;GesamtlÃƒÂ¤nge;GemeindestraÃƒÅ¸en;;
;;;GesamtflÃƒÂ¤che;unbefestigte FlÃƒÂ¤chen
 bzw. GrÃƒÂ¼nflÃƒÂ¤chen;befestigte,
ausgebaute FlÃƒÂ¤chen
;;;;;
;;;;;
;;m;mÃ‚Â²;;
Wien;6912;2786679;41171498;5585992;35585506
1. Innere Stadt;288;54269;1041406;70490;970916
2. Leopoldstadt;267;104131;2088980;370696;1718284
3. LandstraÃƒÅ¸e;274;92233;1536519;102434;1434085
4. Wieden;109;28786;454042;20863;433179
5. Margareten;109;37769;625186;29932;595254
6. Mariahilf;98;27474;420747;19318;401429
7. Neubau;63;25433;384158;17337;366821
8. Josefstadt;71;19591;296107;13946;282161
9. Alsergrund;169;46562;802920;45306;757614
10. Favoriten;476;209239;3475584;463909;3011675
11. Simmering;298;136162;2305689;464099;1841590
12. Meidling;264;100834;1676404;183554;1492850
13. Hietzing;377;148366;1901408;272297;1629111
14. Penzing;469;192514;2265211;261869;2003342
15. Rudolfsheim-FÃƒÂ¼nfhaus;190;66283;1009049;56436;952613
16. Ottakring;252;100390;1409412;97781;1311631
17. Hernals;237;86314;1073546;95639;977907
18. WÃƒÂ¤hring;174;72847;993537;94194;899343
19. DÃƒÂ¶bling;367;170024;2217654;271528;1946126
20. Brigittenau;151;62281;1234766;168078;1066688
21. Floridsdorf;708;304175;4358495;721130;3637365
22. Donaustadt;908;453253;6197101;1344902;4852199
23. Liesing;593;247749;3403577;400254;3003323
Quelle: Stadt Wien StraÃƒÅ¸enverwaltung und StraÃƒÅ¸enbau.;;;;;
