Hunde, Hundezonen und Hundekotsackerlspender nach Gemeindebezirken 2020;;;;;;;
Gemeindebezirk;Hunde *;Hundezonen und HundeauslÃƒÂ¤ufe **;;;;Hundekotsackerl
spender;
;;Zahl;FlÃƒÂ¤che;Anteil an der BezirksflÃƒÂ¤che;AuslaufflÃƒÂ¤che
pro Hund ***;Zahl;Dichte ****
;;;mÃ‚Â²;%;mÃ‚Â²;;mÃ‚Â²
Wien;55649;176;1090761,9;Ã¢â‚¬â€œ;Ã¢â‚¬â€œ;3707;Ã¢â‚¬â€œ
1. Innere Stadt;483;2;3892,97;0,135701531185892;8,05997929606625;67;42817,5197014925
2. Leopoldstadt;2510;13;329985,45;1,7149231976083;131,468306772908;184;104576,06423913
3. LandstraÃƒÅ¸e;2174;12;15438,99;0,208698673119093;7,10165133394664;99;74724,6695959596
4. Wieden;654;2;1051,68;5,92426362303905E-02;1,60807339449541;65;27310,8918461538
5. Margareten;931;8;2332,81;0,115965655840513;2,50570354457573;48;41909,139375
6. Mariahilf;639;3;1298,79;8,92612396885825E-02;2,03253521126761;61;23853,1745901639
7. Neubau;580;2;702,08;4,36549554306334E-02;1,21048275862069;76;21161,1594736842
8. Josefstadt;481;3;2201,61;0,201992633229276;4,57715176715177;43;25347,5741860465
9. Alsergrund;891;3;1787,72;6,02456422275541E-02;2,00641975308642;98;30279,4362244898
10. Favoriten;5118;18;375640,02;1,18019825272318;73,3958616647128;233;136603,22944206
11. Simmering;3457;13;22908,08;9,85025340434424E-02;6,62657795776685;196;118654,774030612
12. Meidling;2331;13;26156,33;0,322788050136813;11,2210767910768;212;38222,8880660377
13. Hietzing;1999;3;15040,52;3,98796639548012E-02;7,5240220110055;205;183974,444536585
14. Penzing;2867;8;42403,53;0,125590743262529;14,7902092779909;261;129361,151915709
15. Rudolfsheim-FÃƒÂ¼nfhaus;1321;8;17395,53;0,443937550723009;13,1684557153671;97;40396,5288659794
16. Ottakring;2020;2;3819,5;4,40387270304731E-02;1,89084158415842;186;46629,2911290323
17. Hernals;1372;3;2633,23;2,31163542324022E-02;1,9192638483965;163;69884,6587730061
18. WÃƒÂ¤hring;1354;4;9036,51;0,142369948079511;6,6739364844904;87;72956,3594252873
19. DÃƒÂ¶bling;2656;5;15308,06;6,13700016613694E-02;5,76357680722892;196;127264,69744898
20. Brigittenau;1780;8;10891,07;0,190720939394914;6,11857865168539;110;51913,4016363636
21. Floridsdorf;7106;10;28841,35;6,48948065162019E-02;4,05873205741627;347;128078,480979827
22. Donaustadt;8622;16;78059,96;7,63053341481141E-02;9,05357921595918;448;228347,0534375
23. Liesing;4303;17;83936,11;0,261795375322512;19,506416453637;225;142496,549955556
Quelle: Stadt Wien Rechnungs- und Abgabenwesen, Stadt Wien Wiener StadtgÃƒÂ¤rten und Stadt Wien Abfallwirtschaft, StraÃƒÅ¸enreinigung und Fuhrpark.;;;;;;;
* Stichtag 1.9.2020.
** Hundezonen und HundeauslÃƒÂ¤ufe in stÃƒÂ¤dtischer Verwaltung. 
*** FlÃƒÂ¤che pro registriertem Hund im jeweiligen Bezirk.
**** Auf einen Sackerlspender kommen ... mÃ‚Â² BezirksflÃƒÂ¤che.;;;;;;;
;;;;;;;
Hundezonen: Stichtag 10.4.2020;;;;;;;
