Einnahmeerfolg und Abgabenertragsanteile Wiens als Land und Gemeinde nach Abgabenart 2019;;;;;
Abgabenart;Einnahmeerfolg (1);;Ertragsanteile Wiens;;
;in Wien;in Ãƒâ€“sterreich;insgesamt;als Land;als Gemeinde
;;;;;
;Mio. EUR;;;;
Insgesamt;.;.;6421,7704566228;3469,26010323048;2952,51035339231
Einkommen- und VermÃƒÂ¶gensteuer;.;.;3353,66515780707;1933,12523756458;1420,53992024249
Veranlagte Einkommensteuer;.;.;352,497783822308;203,248471044934;149,249312777373
Lohnsteuer;.;.;2073,87951752484;1195,78862737138;878,090890153465
Kapitalertragsteuer;.;.;166,440782223622;95,9689282004875;70,4718540231342
Kapitalertragsteuer auf Zinsen;.;.;55,2902716240757;31,8800959523687;23,4101756717069
KÃƒÂ¶rperschaftsteuer;.;.;696,013873522626;401,318141877588;294,695731645039
ÃƒÅ“brige Steuern;.;.;9,54292908959492;4,92097311782015;4,62195597177477
Sonstige Steuern;.;.;3066,78734661177;1535,37494097231;1531,41240563946
Umsatzsteuer;.;.;1770,26474454502;1002,77687480597;767,487869739044
MineralÃƒÂ¶lsteuer;.;.;331,206848676247;190,972223606922;140,234625069325
Grunderwerbsteuer;.;.;376,679281264185;2,22097690707;374,458304357115
Motorbezogene Versicherungssteuer;.;.;187,826970121834;108,300097902203;79,5268722196316
Tabaksteuer;.;.;140,480605271968;81,0004191328123;59,4801861391555
ÃƒÅ“brige Steuern;.;.;260,328896732513;150,104348617324;110,224548115189
KunstfÃƒÂ¶rderungsbeitrag;.;.;1,31795220396056;0,759924693598408;0,558027510362151
Quelle: Bundesrechenzentrum.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
(1) Daten seit dem Jahr 2017 nicht verfÃƒÂ¼gbar.;;;;;
