Bruttoinlandsverbrauch in Wien nach EnergietrÃƒÂ¤gern seit 2011;;;;;;;;
EnergietrÃƒÂ¤ger;Berichtsjahr;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
;Terajoule;;;;;;;
Energieverbrauch;156316,055765784;151935,656921478;150618,828103373;141492,924815206;149318,983693184;152103,016949831;155842,060192811;152137,412275007
Kohle;154,678417951392;130,133400344232;53,9853344464192;40,8117943703505;8,24621337000504;9,27431398079512;11,1545944403946;10,6787877702784
Koks;58,4929403096229;50,3664543974409;6,82246039545723;4,2051666616531;3,6478869748125;4,84959456278963;4,13948801916235;3,8121715281056
ÃƒÅ“brige EnergietrÃƒÂ¤ger;96,1854776417689;79,7669459467908;47,162874050962;36,6066277086974;4,59832639519254;4,42471941800549;7,01510642123229;6,86661624217279
ErdÃƒÂ¶l;48454,4058260219;47086,5329507852;48123,3035095061;46851,9788324558;49703,6969987704;52684,5904480705;52175,7749481877;49969,5494183895
Benzin;11106,8843588952;10697,4076344978;10367,3055118477;10072,3822601464;10038,6786798184;9801,10461645815;9613,53888592749;9762,71165893502
Diesel;32357,8730079735;32295,6514721397;34086,5585164867;32973,4750014199;33641,5899001144;35431,8630480095;36630,7712256287;36510,7132665638
FlÃƒÂ¼ssiggas;1084,256537915;926,581209815934;848,157002475286;712,019837371228;549,067636106567;448,145441940558;398,680453481217;343,708276617652
GasÃƒÂ¶l fÃƒÂ¼r Heizzwecke;2064,02295543761;1947,40452064426;2104,76043308645;2178,16745404571;3156,68743296947;2955,10407906094;3028,39689348777;2823,66572269959
HeizÃƒÂ¶l;1720,00553427309;1116,48889300982;606,149955038052;809,716824821367;2207,9377657304;3927,63367209602;2388,27912988921;404,515213823027
ÃƒÅ“brige EnergietrÃƒÂ¤ger;121,363431527483;102,999220677593;110,372090571822;106,217454651218;109,735584031208;120,739590505262;116,108359773294;124,235279750428
Naturgas;74304,194170543;64812,0296432873;62149,8698343085;53608,9121456097;58971,1426604937;59974,4041407843;66142,7908094917;65592,4198242301
Erneuerbare EnergietrÃƒÂ¤ger;17502,2570524164;17834,9612065473;15098,439733779;14559,3885540802;15955,5043797156;15919,6358695335;15479,715751246;14945,8972921825
Biogene Brenn- und Treibstoffe;12390,988200759;11851,7399907489;9187,388461994;9063,74774576467;10704,1395431762;10261,7817435266;10006,5093477361;9793,69474308599
Brennbare AbfÃƒÂ¤lle;5978,93201995224;5443,84120394689;5439,33488716301;5806,99583582976;6006,64832280645;6491,35094496316;6419,31201104557;6158,2009575291
Brennholz;1036,98610506266;1038,71404393609;1156,31607485515;1017,94958851529;858,46716021037;907,398072861761;742,678924088644;695,898009118959
Wasserkraft;3650,29385077685;4442,34396886824;4202,51561147253;3822,85362519044;3724,66153442658;4074,24265774646;4073,9481605984;3704,09744716136
ÃƒÅ“brige EnergietrÃƒÂ¤ger;6836,04507662462;6910,06198979605;4300,27316028833;3911,58950454469;5365,72736227224;4446,64419396209;4243,77665551337;4387,70087837305
FernwÃƒÂ¤rme;1485,0756;2453,652;2274,5772;2050,956;2880,4608;2762,3808;2870,7912;2306,9124
Elektrische Energie;8436,51267889953;14174,5065165672;17479,3176041695;18573,88165286;15793,2843180275;14261,3804324988;12742,5208783999;13153,7535949054
Quelle: Statistik Austria Ã¢â‚¬â€œ Energiestatistik (Revision 2018).;;;;;;;;
