Energetischer Endverbrauch in Wien nach EnergietrÃƒÂ¤gern seit 2011;;;;;;;;
EnergietrÃƒÂ¤ger;Berichtsjahr;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
;Terajoule;;;;;;;
Energieverbrauch;133200,413786313;132775,945157378;135537,365585992;127361,620443876;131418,209715632;134805,02342328;136481,359811789;133743,889289367
Kohle;154,678417951392;130,133400344232;53,9853344464192;40,8117943703505;8,24621337000504;9,27431398079512;11,1545944403946;10,6787877702784
Koks;58,4929403096229;50,3664543974409;6,82246039545723;4,2051666616531;3,6478869748125;4,84959456278963;4,13948801916235;3,8121715281056
ÃƒÅ“brige EnergietrÃƒÂ¤ger;96,1854776417689;79,7669459467908;47,162874050962;36,6066277086974;4,59832639519254;4,42471941800549;7,01510642123229;6,86661624217279
ErdÃƒÂ¶l;46997,1037680599;45879,9897696296;47532,1247398163;46005,1058824992;47557,1825775351;49081,2769249649;49844,8636968247;49445,9043488529
Benzin;11099,5806932952;10691,6218908978;10361,0683606477;10066,9539470464;10033,2906741184;9795,76710525814;9608,90062432749;9758,53252243502
Diesel;32357,2686302135;32294,9973809397;34086,2844647967;32973,2347880911;33641,3694475901;35431,8630480095;36630,7712256287;36510,7132665638
FlÃƒÂ¼ssiggas;1084,256537915;926,581209815934;848,157002475286;712,019837371228;549,067636106567;448,145441940558;398,680453481217;343,708276617652
GasÃƒÂ¶l fÃƒÂ¼r Heizzwecke;1883,58842743761;1772,89618875818;1938,70152976014;1971,02574671817;3013,75099316343;2906,08260708234;2892,79091066382;2669,86249503646
HeizÃƒÂ¶l;569,520633842306;192,616639666835;296,948637032628;280,708309518676;318,906527009304;498,408923396679;312,478215042599;161,845520519027
ÃƒÅ“brige EnergietrÃƒÂ¤ger;2,8888453562613;1,27645955105254;0,964745103847235;1,16325375363522;0,797299547411967;1,00979927759909;1,24226768093649;1,24226768094377
Naturgas;28810,9568685682;28757,6620340308;29561,0503180631;25291,4903128268;26761,3261796853;27875,4230438063;28777,230639823;27170,179538004
Erneuerbare EnergietrÃƒÂ¤ger;6068,69349477068;5703,23861699588;5464,09710369161;5712,3298092985;6000,91190895532;5395,61534587885;4942,63510446268;4949,36977566385
Biogene Brenn- und Treibstoffe;4668,41985477119;4249,87964737159;3868,88119516024;4156,74760915111;4603,48161336804;3952,04542553798;3703,79268993338;3694,84348695672
Brennbare AbfÃƒÂ¤lle;20,7603678522353;6,84504436088498;0,755371372403586;0,594792495063963;0,989228292062278;0,871080373310126;1,87274900741106;1,28929881636289
Brennholz;1036,98610506266;1038,71404393609;1156,31607485515;1017,94958851529;858,46716021037;907,398072861761;742,678924088644;695,898009118959
ÃƒÅ“brige EnergietrÃƒÂ¤ger;342,527167084585;407,799881327305;438,144462303818;537,037819137028;537,973907084845;535,300767105798;494,29074143325;557,338980771807
FernwÃƒÂ¤rme;21602,6656689549;22408,7959372916;23043,7671667856;21018,5749572437;21434,7051303185;22485,9042325377;23044,4365492511;22019,2537555612
Elektrische Energie;29545,555200156;29889,280354725;29881,585551816;29292,712895142;29654,848477476;29956,658481738;29859,16647798;30147,213784698
Quelle: Statistik Austria Ã¢â‚¬â€œ Energiestatistik (Revision 2018).;;;;;;;;
