Wasserversorgung in Wien seit 2000;;;;;;;;;;
Jahr;Wassergewinnung;;;Wasserverbrauch im
eigenen Gemeindegebiet (1);;Tagesabgabe (2);;RohrnetzlÃƒÂ¤nge (3);WasserbehÃƒÂ¤lter (4);Gesamtinhalt
;insgesamt;aus der 1. und 2. Hochquellenleitung;aus Grundwasser;insgesamt;Tagesdurchschnittsverbrauch pro Kopf (2);Minimum;Maximum;;;
;1.000 mÃ‚Â³;;;;Liter;1.000 mÃ‚Â³;;km;insgesamt;1.000 mÃ‚Â³
2000;153009;143116,4;9892,6;125393,1;252;313;565;3252;32;1551
2001;146761,1;137011,8;9749,30000000002;121380,9;245;311;511;3261;32;1551
2002;145154,2;137236;7918,20000000001;124980;246;339;423;3262;32;1551
2003;148561,8;136209,6;12352,2;124053;256;316;532;3268;32;1551
2004;142184,9;136099,1;6085,79999999999;125700;213;295;469;3273;32;1551
2005;142098,4;136709,1;5389,29999999999;124500;208;299,5;499,2;3277;32;1559,8
2006;145191,244;138571,174;6620,07000000001;124110;205;297,1;510,2;3281;32;1560,25
2007;142127,8;137272,9;4854,89999999999;123800;203;299;530;3284;32;1560,69
2008;140997,6;137460,2;3537,39999999999;122770;200;285;459;3289;32;1560,69
2009;139902;132278;7624;135740;219;299;460;3294;30;1542,73
2010;141225;131803;9422;135698;218;299;507;3369;30;1569
2011;142670;137280;5390;136288;222;289;470;3021;30;1569
2012;144937;131538;13399;139183;224;289;509;3032;30;1570
2013;145667;134347;11320;139955;228;299;520;3035;30;1570
2014;141562;130583;10979;136086;209,33720606498;290;477;3043;30;1570
2015;147653;133325;14327;142054;214,520823544979;303;512;3030;31;1600
2016;144365;134927;9438;138891;205;302;480;3048;32;1580
2017;147624;137325;10299;140842;205;303;517;3048;32;1580
2018;149045;138549;10496;143297;207;301;489;3061;32;1580
2019;149394;138691;10703;143378;206;307;524;3061;32;1572
Quelle: Stadt Wien Wiener Wasser.;;;;;;;;;;
(1) Verbrauch lt. WasserzÃƒÂ¤hler in Wien.
(2) Inklusive Industrie, Gewerbe und Rohrnetzverluste. 
(3) Auf Grund einer Neuberechnung des Rohrnetzes mittels "NIS-Netzinformationssystem" hat sich die RohrnetzlÃƒÂ¤nge 2011 verringert. 
(4)  2019: Im Wiener Stadtgebiet gibt es 30 WasserbehÃƒÂ¤lter mit einem Gesamtinhalt von 927.000 mÃ‚Â³.;;;;;;;;;;
