Gemeinderatswahl Ã¢â‚¬â€œ Wahlberechtigte nach Geschlecht und Wahlbeteiligung nach Gemeindebezirken 2020;;;;;;
Gemeindebezirk;Wahlberechtigte;;;Abgegebene Stimmen;;Wahlbeteiligung
;insgesamt;Geschlecht;;insgesamt;darunterÃ¢â‚¬Â¦;
;;MÃƒÂ¤nner;Frauen;;gÃƒÂ¼ltig;%
Wien;1133010;535983;597027;739485;725501;65,2672968464532
1. Innere Stadt;10689;5216;5473;7713;7608;72,1582935728319
2. Leopoldstadt;58872;28376;30496;39303;38656;66,7600896860987
3. LandstraÃƒÅ¸e;54752;25758;28994;37294;36662;68,114406779661
4. Wieden;19750;9402;10348;14016;13835;70,9670886075949
5. Margareten;30227;14558;15669;19994;19711;66,1461607172396
6. Mariahilf;19644;9458;10186;13798;13618;70,2402769293423
7. Neubau;19943;9419;10524;14781;14624;74,1162312590884
8. Josefstadt;15086;7135;7951;11466;11345;76,004242343895
9. Alsergrund;25197;11856;13341;18469;18189;73,2984085406993
10. Favoriten;108871;52333;56538;64523;63289;59,2655528102066
11. Simmering;59872;28717;31155;36127;35344;60,3403928380545
12. Meidling;54171;25791;28380;32892;32292;60,7188348009082
13. Hietzing;36934;16880;20054;26778;26364;72,5023014025018
14. Penzing;59086;27721;31365;39816;39192;67,386521341773
15. Rudolfsheim-FÃƒÂ¼nfhaus;38581;18583;19998;23672;23328;61,3566263186543
16. Ottakring;56188;26527;29661;36479;35663;64,9231152559265
17. Hernals;31797;14711;17086;21710;21353;68,276881466805
18. WÃƒÂ¤hring;31842;14384;17458;23569;23193;74,0185917969977
19. DÃƒÂ¶bling;47503;21769;25734;32983;32263;69,4335094625603
20. Brigittenau;45091;21579;23512;27104;26439;60,1095562307334
21. Floridsdorf;107154;50940;56214;65573;63998;61,1951023760196
22. Donaustadt;128191;60715;67476;82231;80498;64,1472490268428
23. Liesing;73569;34155;39414;49194;48037;66,8678383558292
Quelle: StadtwahlbehÃƒÂ¶rde.;;;;;;
