Gemeinderatswahl Ã¢â‚¬â€œ Stimmenanteile der Parteien nach Gemeindebezirken 2020;;;;;;;;
Gemeindebezirk;Gemeinderatswahl;;;;;;;
;SPÃƒâ€“;Ãƒâ€“VP;GRÃƒÅ“NE;NEOS;FPÃƒâ€“;HC (1);LINKS;sonstige Parteien (2)
;%;;;;;;;
Wien;41,6218585501605;20,4325011268075;14,8031498233634;7,46697799176018;7,11274002379046;3,26505407987032;2,05637207943201;3,24134632481554
1. Innere Stadt;29,3375394321767;33,8853838065195;15,3785488958991;11,9216614090431;4,5478443743428;2,18191377497371;1,32754994742376;1,41955835962145
2. Leopoldstadt;42,4901697019868;14,6419701986755;21,549048013245;7,60554635761589;5,11434188741722;2,77576572847682;3,38886589403974;2,43429221854304
3. LandstraÃƒÅ¸e;39,6050406415362;19,1069772516502;19,1942610877748;9,39119524303093;4,99699961813322;2,51213790846108;2,87218373247504;2,32120451693854
4. Wieden;35,6631731116733;20,5999277195519;22,2985182508132;10,6541380556559;3,90314419949404;2,00216841344416;3,18033971810625;1,69859053126129
5. Margareten;40,5814012480341;14,9256760184668;22,6168129470854;7,93465577596266;4,84501040028411;2,29820912181016;3,80498198975192;2,99325249860485
6. Mariahilf;36,9657805845205;17,1464238507857;26,0170362755177;8,95138786899692;3,83316199148186;1,53473344103393;3,51006021442209;2,04141577324131
7. Neubau;34,375;15,2010393873085;29,7592997811816;10,0109409190372;3,28227571115974;1,34026258205689;4,21909190371991;1,8120897155361
8. Josefstadt;32,9131776112825;20,9255178492728;24,3190832966064;10,9475539885412;3,79021595416483;1,48082855883649;3,76377258704275;1,85985015425298
9. Alsergrund;35,3510363406455;19,1599318269284;23,9265490131398;11,0121502006707;3,85397767881687;1,46242234317445;3,3261861564682;1,90774644015612
10. Favoriten;48,3986158732165;18,655690562341;8,14675536033118;4,48577161908073;9,49770102229455;4,56319423596518;1,33672518131113;4,91554614545973
11. Simmering;46,6330918967859;17,15991398823;6,69420552286102;4,2609778180172;14,8936170212766;4,65142598460842;1,11475780896333;4,59200995925758
12. Meidling;44,8346339650687;18,6764523721045;13,7433420042116;6,44122383252818;6,9645732689211;3,61389817911557;2,06552706552707;3,66034931252322
13. Hietzing;31,3647397966925;32,453345471097;14,2732514034289;11,5498406918525;5,02199969655591;2,2834167804582;1,21377636170536;1,83962979820969
14. Penzing;39,2401510512349;23,0863441518677;15,6256378852827;8,23127168809961;6,47325984894876;2,84751990202082;1,74015105123495;2,75566442131047
15. Rudolfsheim-FÃƒÂ¼nfhaus;42,2710905349794;14,1032235939643;21,176268861454;5,87277091906722;5,70130315500686;2,90209190672154;4,12808641975309;3,8451646090535
16. Ottakring;41,6902672237333;17,9177298600791;17,9093177803326;6,52496985671424;6,048285337745;3,11527353279309;3,15733393152567;3,63682247707709
17. Hernals;36,3461808645155;21,013440734323;20,0018732730764;8,96829485318222;5,40439282536412;2,383739989697;3,17519786446869;2,70687959537301
18. WÃƒÂ¤hring;30,6342430905877;24,8005863838227;22,9681369378692;11,7061182253266;3,55710774802742;1,79364463415686;2,50075453800716;2,03940844220239
19. DÃƒÂ¶bling;35,05873601339;29,6159687567802;13,2566717292254;10,6964634410935;5,538852555559;2,45792393763754;1,33899513374454;2,03638843256981
20. Brigittenau;48,1485684027384;15,6851620711827;14,3575778206437;5,11744014523999;6,98210976209388;3,31328718937933;2,71568516207118;3,68016944665078
21. Floridsdorf;46,2123816369262;20,4131379105597;7,98931216600519;5,21110034688584;9,71124097628051;4,86577705553299;0,815650489077784;4,78139941873184
22. Donaustadt;46,1576685135034;21,0688464309672;9,11451216179284;6,24984471663892;9,02755347958955;4,22743422196825;0,977664041342642;3,17647643419713
23. Liesing;41,6886982950642;24,2188313175261;10,4419509961072;7,75235755771593;8,02298228448904;3,42028020067864;0,880571226346358;3,57432812207256
Quelle: StadtwahlbehÃƒÂ¶rde.;;;;;;;;
(1) Team HC Strache Ã¢â‚¬â€œ Allianz fÃƒÂ¼r Ãƒâ€“sterreich.
(2) In Wien angetretene sonstige Parteien: BIER (Die Bierpartei), SÃƒâ€“Z (Soziales Ãƒâ€“sterreich der Zukunft), VOLT (Volt Ãƒâ€“sterreich), WIFF (Wir fÃƒÂ¼r Floridsdorf), PRO (Liste Ernst Paleta Ã¢â‚¬â€œ fÃƒÂ¼r ein lebenswertes Liesing).;;;;;;;;
