Unternehmen und BeschÃƒÂ¤ftigte in Wien nach Geschlecht und WirtschaftstÃƒÂ¤tigkeiten 2018;;;;
Abschnitt und ausgewÃƒÂ¤hlte Abteilung
(Ãƒâ€“NACE 2008);Unternehmen;BeschÃƒÂ¤ftigte;;
;;insgesamt;Geschlecht;
;;;MÃƒÂ¤nner;Frauen
Insgesamt;139044;1239842;670477;569365
Land- und Forstwirtschaft;693;2144;1306;838
Bergbau;30;103;74;29
Herstellung von Waren;3401;69601;50453;19148
Elektrische AusrÃƒÂ¼stungen;79;10704;8365;2339
Nahrungs- und Futtermittel;364;10027;5351;4676
Reparatur/Installation v. Maschinen;254;9454;8250;1204
Pharmazeutische Erzeugnisse;105;5457;2975;2482
Maschinenbau;95;5191;4233;958
Sonstiger Fahrzeugbau;12;4059;3499;560
Metallerzeugnisse;418;3614;2801;813
Sonstige Waren;566;3219;1744;1475
Kraftwagen und -teile;73;2620;2416;204
Papier/Pappe und Waren daraus;22;2454;1762;692
Rest;1413;12802;9057;3745
Energieversorgung;73;2549;2033;516
Wasserversorgung und Abfallentsorgung;98;1776;1502;274
Abfallbehandlung;73;1582;1341;241
Abwasserentsorgung;18;132;117;15
Rest;7;62;44;18
Bau;7005;63127;56018;7109
Sonst. BautÃƒÂ¤tigkeiten;5893;40401;35493;4908
Hochbau;1024;18900;16931;1969
Tiefbau;88;3826;3594;232
Handel;17494;140421;65321;75100
Einzelhandel;9888;73753;23006;50747
GroÃƒÅ¸handel;6107;54281;32219;22062
Kfz-Handel und -reparatur;1499;12387;10096;2291
Verkehr;4584;82948;67578;15370
Landverkehr;3947;35660;31566;4094
Dienstleistungen fÃƒÂ¼r den Verkehr;337;25711;21752;3959
Post- und Kurierdienste;240;21212;14034;7178
Luftfahrt;48;309;179;130
Schifffahrt;12;56;47;9
Beherbergung und Gastronomie;7063;71902;39234;32668
Information und Kommunikation;9530;73016;49656;23360
IT-Dienstleistungen;4891;26705;20188;6517
Telekommunikation;106;14685;10472;4213
Informationsdienstleistungen;2370;14247;9671;4576
Rest;2163;17379;9325;8054
Finanz- und Versicherungsleistungen;3164;59935;31896;28039
GrundstÃƒÂ¼cks- und Wohnungswesen;5572;18780;9315;9465
Freiberufliche/techn. Dienstleistungen;30277;111196;55869;55327
UnternehmensfÃƒÂ¼hrung, -beratung;9151;30287;16881;13406
Rechtsberatung und WirtschaftsprÃƒÂ¼fung;5566;25496;9124;16372
Architektur- und IngenieurbÃƒÂ¼ros;4670;19502;12399;7103
Werbung und Marktforschung;4731;18240;8540;9700
Rest;6159;17671;8925;8746
Sonst. wirtschaftl. Dienstleistungen;6676;98366;52657;45709
Ãƒâ€“ffentliche Verwaltung;231;213966;104448;109518
Erziehung und Unterricht;3684;73750;30100;43650
Gesundheits- und Sozialwesen;18016;86502;22351;64151
Kunst, Unterhaltung und Erholung;7764;27026;14833;12193
Sonst. Dienstleistungen;13689;42734;15833;26901
Quelle: Statistik Austria Ã¢â‚¬â€œ ArbeitsstÃƒÂ¤ttenzÃƒÂ¤hlung 2018.;;;;
