ArbeitsstÃƒÂ¤tten, BeschÃƒÂ¤ftigte und weitere Kennzahlen in Wien nach WirtschaftstÃƒÂ¤tigkeiten 2018;;;;
Abschnitt
(Ãƒâ€“NACE 2008);ArbeitsstÃƒÂ¤tten;BeschÃƒÂ¤ftigte (1);BruttolÃƒÂ¶hne und -gehÃƒÂ¤lter;Bruttoinvestitionen
in Sachanlagen
;;;Mio. EUR;
Insgesamt;100740;678569;25596,181;11831,045
Land- und Forstwirtschaft;.;.;.;.
Bergbau;19;.;.;.
Herstellung von Waren;3723;56259;2846,085;497,756
Energieversorgung;359;5929;394,058;401,895
Wasserversorgung und Abfallentsorgung;143;3827;211,369;113,843
Bau;7215;56594;2096,525;147,627
Handel;23503;143491;5025,798;896,829
Verkehr;5091;45086;1590,342;858,371
Beherbergung und Gastronomie;9739;68409;1170,079;178,881
Information und Kommunikation;9102;60709;3165,869;962,255
Finanz- und Versicherungsleistungen;2248;40731;2724,939;361,164
GrundstÃƒÂ¼cks- und Wohnungswesen;7608;19182;615,195;3083,537
Freiberufliche Dienstleistungen;25347;96270;3615,348;307,68
Sonst. wirtschaftl. Dienstleistungen;6046;80402;2092,06;4013,032
Erziehung und Unterricht;2;.;.;.
Gesundheits- und Sozialwesen;2;.;.;.
Kunst, Unterhaltung und Erholung;4;29;0,462;0,072
Sonstige Dienstleistungen;589;1420;31,837;2,095
Quelle: Statistik Austria Ã¢â‚¬â€œ Leistungs- und Strukturstatistik 2018.;;;;
(1) BeschÃƒÂ¤ftigte im Jahresdurchschnitt.;;;;
