Betriebe, BeschÃƒÂ¤ftigte und weitere Kennzahlen in Wien nach WirtschaftstÃƒÂ¤tigkeiten 2018;;;;;;
Abschnitt (Ãƒâ€“NACE 2008);Betriebe;BeschÃƒÂ¤ftigte (1);BetriebserlÃƒÂ¶se;Waren- und
DienstleistungskÃƒÂ¤ufe;Lagerbestand
Jahresende;Bruttoinvestitionen
in Sachanlagen
;;;Mio. EUR;;;
Insgesamt;81703;752404;266418,221;184223,061;18838,097;12819,108
Bergbau;8;167;140,241;103,77;54,828;3,915
Herstellung von Waren;2715;57813;20604,255;16065,216;4777,031;472,465
Energieversorgung;125;6479;29385,326;27917,504;301,997;470,402
Wasserversorgung und Abfallentsorgung;85;4130;1568,46;885,624;34,428;119,595
Bau;6218;56827;9890,333;6925,762;3521,409;163,311
Handel;16152;146586;91917,952;78398,295;6216,067;950,504
Verkehr;4002;73556;15445,757;10666,108;138,493;1053,393
Beherbergung und Gastronomie;7090;73333;4822,912;2691,579;57,647;216,172
Information und Kommunikation;8095;64544;16915,261;10025,143;455,833;1069,789
Finanz- und Versicherungsleistungen;1362;55222;37800,862;8719,063;10,758;452,45
GrundstÃƒÂ¼cks- und Wohnungswesen;6984;19958;9358,7;5078,811;1685,989;3002,288
Freiberufliche Dienstleistungen;23482;98317;15913,363;9597,208;1243,258;331,291
Sonstige wirtschaftliche Dienstleistungen;4928;93943;12493,056;7051,627;335,649;4510,87
Sonstige Dienstleistungen;457;1529;161,743;97,351;4,71;2,663
Quelle: Statistik Austria Ã¢â‚¬â€œ Leistungs- und Strukturstatistik 2018.;;;;;;
(1) BeschÃƒÂ¤ftigte im Jahresdurchschnitt.;;;;;;
