UnternehmensneugrÃƒÂ¼ndungen * der gewerblichen Wirtschaft nach Sparten seit 2004;;;;;;;;;;;;;;;;;
Sparte;Berichtsjahr;;;;;;;;;;;;;;;;
;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Wien;;;;;;;;;;;;;;;;;
UnternehmensneugrÃƒÂ¼ndungen;6651;8272;8683;7811;7978;9582;8255;9253;8325;8279;8456;8256;8704;9147;9098;9105;9131
Gewerbe und Handwerk;1625;3041;3192;2728;3021;4823;3574;4501;3879;4008;3921;3604;3966;4109;3848;3717;3570
Industrie;95;79;102;96;118;134;140;137;147;149;144;4;6;3;8;2;4
Handel;1967;1887;2011;1932;1615;1396;1475;1537;1400;1419;1468;1653;1682;1759;1782;1828;1974
Bank und Versicherung;4;3;1;3;6;7;3;1;1;Ã¢â‚¬â€œ;3;Ã¢â‚¬â€œ;2;9;3;1;Ã¢â‚¬â€œ
Transport und Verkehr;375;441;550;387;518;506;509;573;581;425;448;439;425;851;725;719;614
Tourismus und Freizeitwirtschaft;559;581;573;502;588;612;498;552;463;513;658;772;714;817;737;691;819
Information und Consulting;2026;2240;2254;2163;2112;2104;2056;1952;1854;1765;1814;1784;1909;1869;1995;2147;2150
Ãƒâ€“sterreich;;;;;;;;;;;;;;;;;
UnternehmensneugrÃƒÂ¼ndungen;29740;29740;31001;29109;30304;40331;32712;37125;35279;35638;36946;37054;39563;40828;40127;39322;39092
Gewerbe und Handwerk;9440;9440;10008;9874;10532;21308;14780;18926;18506;19661;19935;20311;21863;23232;22113;20818;19577
Industrie;331;331;361;338;360;370;388;405;385;407;414;50;59;49;58;45;63
Handel;8475;8475;9094;7824;7997;7415;7270;7333;6603;6661;7297;7443;7960;7917;7960;8165;8772
Bank und Versicherung;7;7;4;2;7;7;3;1;3;Ã¢â‚¬â€œ;3;1;3;10;3;2;2
Transport und Verkehr;1453;1453;1520;1383;1581;1508;1395;1535;1524;1260;1278;1282;1253;1466;1657;1728;1754
Tourismus und Freizeitwirtschaft;3041;3041;2977;2727;2750;2742;2327;2604;2278;2152;2299;2623;2826;2716;2551;2399;2726
Information und Consulting;6993;6993;7037;6961;7077;6981;6549;6321;5980;5497;5720;5344;5599;5438;5785;6165;6198
Quelle: Wirtschaftskammer Wien.;;;;;;;;;;;;;;;;;
* NeugrÃƒÂ¼ndungen wurden den Sparten schwerpunktmÃƒÂ¤ÃƒÅ¸ig zugeordnet. Ab 2008 Bruch in der Zeitreihe aufgrund geÃƒÂ¤nderter rechtlicher Lage. Die TÃƒÂ¤tigkeit der selbststÃƒÂ¤ndigen Personenbetreuung wurde im Jahr 2007 ausdrÃƒÂ¼cklich in der Gewerbeordnung geregelt, dies fÃƒÂ¼hrte zu einem sprunghaften Anstieg der Mitglieder- und GrÃƒÂ¼ndungszahlen im Jahr 2008. Mit der neuen Fachorganisationsordnung 2010, die ab dem Berichtsjahr 2009 angewendet wird, kommt es zu einigen Verschiebungen von Berufszweigen in andere Sparten (2014: Verschiebungen von der Industrie zur Sparte Gewerbe und Handwerk). Dies beeintrÃƒÂ¤chtigt die Vergleichbarkeit der Werte ab 2009 zu den Vorjahren geringfÃƒÂ¼gig.;;;;;;;;;;;;;;;;;
