Wildabschuss und Fallwild in den Jagdgebieten (1) der Stadt Wien nach Wildarten 2019;;;;
Wildarten;AbschÃƒÂ¼sse insgesamt;Fallwild (Verluste);;
;;insgesamt;StraÃƒÅ¸enverkehr;sonstige Verluste
Wild insgesamt;2510;904;265;639
Haarwild;2142;372;252;120
Rotwild;8;3;2;1
Damwild;31;2;1;1
Rehwild;371;152;94;58
Muffelwild;40;1;-;1
Schwarzwild;1234;28;9;19
Hasen;157;66;52;14
Dachse;24;15;10;5
FÃƒÂ¼chse;212;68;54;14
Marder;40;30;25;5
Sonstiges Haarwild;25;7;5;2
Federwild;368;532;13;519
Quelle: Stadt Wien Wasserrecht.;;;;
(1) Im Stadtgebiet von Wien gibt es 32 Jagdgebiete.;;;;
