Nettoauslastung der GÃƒÂ¤stebetten in Wien nach Betriebskategorien und Monaten 2019;;;;;
Monat;Nettoauslastung in Hotels und ÃƒÂ¤hnlichen Beherbergungsbetrieben in %;;;;
;insgesamt;5-Stern;4-Stern;3-Stern;2-/1-Stern
2019;61,9;54,3;63,8;62,9;59,4
JÃƒÂ¤nner;43,3511154363979;40,5619301917202;44,5941264451032;43,5311505767632;39,5521422896664
Februar;45,4461694919001;41,6901921096552;45,9549878345499;46,4253012682208;44,3926514943789
MÃƒÂ¤rz;55,5130983745091;46,4670884350469;57,2552553052468;58,085693830493;49,3025907166482
April;67,5422246027495;57,3779932057337;67,7689260092087;70,7279194026007;69,1442184350376
Mai;65,232192371094;54,8987506992355;66,7234036336009;67,7887239739024;63,2775757288569
Juni;65,9394162422954;55,6392247169449;67,7392088007707;67,2438637782795;66,7325992305187
Juli;66,4643261155421;58,1959392483637;68,7176281746766;66,7018168170678;65,4161633592177
August;73,0524023961046;63,4203441414023;76,1857115279854;72,8145359515346;70,9522486617017
September;63,7641505245868;56,3631042959148;65,3880279930018;64,7999557913351;61,9687746590012
Oktober;64,6530877841302;55,9420464972265;67,3100208933489;65,2505917662019;60,1889290655077
November;58,929729462142;52,7109914549924;61,3114184375415;59,5698924731183;52,5408441116406
Dezember;70,6303471927432;65,1206609448218;73,6649410352023;69,589284886981;65,1540656841542
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
