Unselbstständige Beschäftigung in Wien nach Monaten, sozialrechtlicher Stellung und Geschlecht 2021;;;;;;;;;;;;
Monat;Insgesamt;Geschlecht;;Beschäftigungsverhältnisse;;;;;;;;
;;;;Arbeiterinnen und Arbeiter;;;Angestellte;;;Beamtinnen und Beamte;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Jänner;838799;429572;409227;202079;134333;67746;596976;272929;324047;39744;22310;17434
Februar;844980;433870;411110;205355;137210;68145;600058;274458;325600;39567;22202;17365
März;855600;441317;414283;211226;142457;68769;605114;276810;328304;39260;22050;17210
April;859790;444913;414877;213905;145089;68816;606894;277914;328980;38991;21910;17081
Mai;869354;450028;419326;219278;148603;70675;611281;279633;331648;38795;21792;17003
Juni;875615;453557;422058;223962;151284;72678;613025;280570;332455;38628;21703;16925
Juli;876867;454051;422816;224322;151269;73053;614228;281249;332979;38317;21533;16784
August;877202;455182;422020;226104;152721;73383;613040;281074;331966;38058;21387;16671
September;884124;459035;425089;229587;155089;74498;616766;282653;334113;37771;21293;16478
Oktober;887322;459972;427350;229685;155026;74659;620193;283855;336338;37444;21091;16353
November;887954;459966;427988;226783;153522;73261;623962;285483;338479;37209;20961;16248
Dezember;870741;444976;425765;211831;139674;72157;621936;284493;337443;36974;20809;16165
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;;;;;;;
