Arbeitslose Personen (inkl, Schulungsteiln,) nach Geschlecht und gemeldete offene Stellen nach Gemeindebezirken 2021;;;;
Gemeindebezirk;"Arbeitslose Personen (inkl, SchulungsteilnehmerInnen) 
im Jahresdurchschnitt";;;"Gemeldete
offene Stellen"
;insgesamt;Geschlecht;;
;;Männer;Frauen;
Wien;158402,08333333328;87067,75;71334,33333333334;14383,5833333333
1, Innere Stadt;448,833333333333;240,833333333333;208;1043,58333333333
2, Leopoldstadt;8719,08333333333;4900,16666666667;3818,91666666667;925
3, Landstraße;6487,25;3636,08333333333;2851,16666666667;1735,91666666667
4, Wieden;2251,83333333333;1388,91666666667;862,916666666667;263,166666666667
5, Margareten;4931,25;2805,41666666667;2125,83333333333;233,25
6, Mariahilf;2128,83333333333;1214,75;914,083333333333;311,666666666667
7, Neubau;1704,91666666667;960,833333333333;744,083333333333;541,5
8, Josefstadt;1190,33333333333;713,75;476,583333333333;212,666666666667
9, Alsergrund;2082,75;1196,08333333333;886,666666666667;340,416666666667
10, Favoriten;22723,1666666667;12736,25;9986,91666666667;1409,66666666667
11, Simmering;10615,8333333333;5463,41666666667;5152,41666666667;724,5
12, Meidling;10183;5602,25;4580,75;717,583333333333
13, Hietzing;2829,08333333333;1553,83333333333;1275,25;266,666666666667
14, Penzing;6889,58333333333;3812,33333333333;3077,25;370,833333333333
15, Rudolfsheim-Fünfhaus;8004,33333333333;4692,16666666667;3312,16666666667;527,666666666667
16, Ottakring;9461,91666666667;5447,16666666667;4014,75;535,833333333333
17, Hernals;4562,5;2581;1981,5;226,166666666667
18, Währing;2869,08333333333;1554,33333333333;1314,75;145,416666666667
19, Döbling;4284,5;2343,91666666667;1940,58333333333;403,166666666667
20, Brigittenau;9185,16666666667;5151,16666666667;4034;311,583333333333
21, Floridsdorf;15494,3333333333;8239,75;7254,58333333333;679,75
22, Donaustadt;13699,9166666667;6950,25;6749,66666666667;1141,41666666667
23, Liesing;7654,58333333333;3883,08333333333;3771,5;1316,16666666667
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;
;;;;
