Lehrlinge in Wiener Lehrbetrieben nach Witschaftssektoren und Geschlecht seit 2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lehrbetriebe nach
Wirtschaftssektoren";Berichtsjahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2008;;;2009;;;2010;;;2011;;;2012;;;2013;;;2014;;;2015;;;2016;;;2017;;;2018;;;2019;;;2020;;;2021;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Lehrlinge in Wien insgesamt;18293;11221;7072;18829;11773;7056;19187;11892;7295;19267;11978;7289;19078;11691;7387;18226;11217;7009;17406;10606;6800;16918;10414;6504;16832;10441;6391;16846;10571;6275;16899;10705;6194;17153;10784;6369;17365;10833;6532;17354;10813;6541
Betriebe der gewerblichen Wirtschaft;14806;9467;5339;14120;9135;4985;13693;8848;4845;13586;8822;4764;13348;8596;4752;12755;8224;4531;11911;7677;4234;11257;7334;3923;10852;7116;3736;10821;7155;3666;11209;7506;3703;11695;7877;3818;11610;7879;3731;11431;7796;3635
Gewerbe und Handwerk;6360;4398;1962;6000;4171;1829;5733;4027;1706;5641;3961;1680;5436;3821;1615;5160;3644;1516;4694;3295;1399;4413;3104;1309;4287;2989;1298;4328;3051;1277;4543;3302;1241;4688;3455;1233;4795;3621;1174;4761;3658;1103
Industrie;1320;1125;195;1269;1075;194;1240;1044;196;1214;1036;178;1233;1043;190;1196;998;198;1164;963;201;1068;880;188;994;830;164;898;760;138;900;765;135;948;796;152;1012;827;185;1030;844;186
Handel;3016;1380;1636;2756;1292;1464;2680;1219;1461;2723;1280;1443;2756;1248;1508;2678;1220;1458;2529;1186;1343;2440;1214;1226;2337;1201;1136;2296;1208;1088;2350;1227;1123;2560;1383;1177;2599;1376;1223;2645;1404;1241
Bank und Versicherung;326;130;196;365;155;210;416;172;244;417;176;241;408;179;229;403;187;216;367;174;193;347;180;167;340;178;162;329;176;153;326;179;147;346;185;161;366;186;180;335;163;172
Transport und Verkehr;924;715;209;1011;778;233;1064;807;257;1064;817;247;993;773;220;939;746;193;849;700;149;824;681;143;801;662;139;807;664;143;820;664;156;824;658;166;806;633;173;811;626;185
Tourismus und Freizeitwirtschaft;1931;1191;740;1814;1123;691;1703;1052;651;1734;1054;680;1737;1030;707;1645;972;673;1661;974;687;1570;922;648;1536;926;610;1603;947;656;1697;1010;687;1700;1005;695;1420;846;574;1226;694;532
Information und Consulting;929;528;401;905;541;364;857;527;330;793;498;295;785;502;283;734;457;277;647;385;262;595;353;242;557;330;227;560;349;211;573;359;214;629;395;234;612;390;222;623;407;216
Nicht kammerzugehörige Betriebe;2080;825;1255;2036;769;1267;2199;814;1385;2173;696;1477;2104;674;1430;2087;673;1414;2088;679;1409;2038;687;1351;2046;705;1341;1980;711;1269;1976;723;1253;2030;745;1285;2200;778;1422;2289;736;1553
"Anstalten bzw, selbstständige
Ausbildungseinrichtungen";1407;929;478;2673;1869;804;3295;2230;1065;3508;2460;1048;3626;2421;1205;3384;2320;1064;3407;2250;1157;3623;2393;1230;3934;2620;1314;4045;2705;1340;3714;2476;1238;3428;2162;1266;3555;2176;1379;3634;2281;1353
Quelle: Wirtschaftskammer Wien,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
