Bevölkerung nach Altersgruppen und Gemeindebezirken 2022 – Insgesamt;;;;;;;;;
Gemeindebezirk;Insgesamt;Bevölkerungsstand zum Stichtag 1, 1, nach Altersgruppen;;;;;;;
;;0–5;6–9;10–19;20–29;30–44;45–59;60–74;75+
Wien;1931593;116259;73970;181333;286707;445655;398034;272624;157011
1, Innere Stadt;15700;617;421;1056;1971;2860;3525;3013;2237
2, Leopoldstadt;104688;6241;3949;9622;17282;25525;20847;13520;7702
3, Landstraße;93744;5096;2996;7377;15615;23313;18758;13132;7457
4, Wieden;33007;1624;976;2525;5610;7879;6639;4897;2857
5, Margareten;53731;2583;1518;4113;10029;14001;10644;7394;3449
6, Mariahilf;30958;1293;729;2071;5908;7925;6182;4503;2347
7, Neubau;31326;1402;819;1997;6104;8165;6198;4414;2227
8, Josefstadt;24189;1003;645;1690;4949;5664;4738;3498;2002
9, Alsergrund;41382;1898;1186;2925;8750;10342;7427;5654;3200
10, Favoriten;212255;14588;8797;21614;31868;48923;42484;28365;15616
11, Simmering;106078;7549;4808;11619;14686;24172;22283;14164;6797
12, Meidling;97909;5819;3509;9518;15030;23152;19922;13606;7353
13, Hietzing;53959;3096;2097;4792;5558;10873;11455;8662;7426
14, Penzing;92989;5259;3476;8286;11603;20533;20112;14677;9043
15, Rudolfsheim-Fünfhaus;75635;3965;2385;6263;13645;19525;15112;10104;4636
16, Ottakring;101638;5696;3462;9139;15761;24042;21333;14742;7463
17, Hernals;56014;3189;1999;5017;8498;13392;11521;7988;4410
18, Währing;50865;2882;1833;4357;7698;11945;10375;6948;4827
19, Döbling;73873;3924;2816;6889;9454;15128;15212;11060;9390
20, Brigittenau;84471;4870;3160;8130;13878;19528;17070;11551;6284
21, Floridsdorf;178185;12456;7846;18636;23556;38855;37326;25212;14298
22, Donaustadt;203823;13353;9421;22108;25845;45106;45168;28291;14531
23, Liesing;115174;7856;5122;11589;13409;24807;23703;17229;11459
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
