Bevölkerung nach Staatsangehörigkeit, Geschlecht und Gemeindebezirken 2022;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1, 1,;;;Staatsangehörigkeit;;;;;
;;;;Österreich;;;Fremde;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1931593;944869;986724;1309866;627645;682221;621727;317224;304503
1, Innere Stadt;15700;7637;8063;11661;5729;5932;4039;1908;2131
2, Leopoldstadt;104688;51740;52948;67866;32888;34978;36822;18852;17970
3, Landstraße;93744;45153;48591;62207;29484;32723;31537;15669;15868
4, Wieden;33007;16051;16956;22051;10654;11397;10956;5397;5559
5, Margareten;53731;26669;27062;32723;15876;16847;21008;10793;10215
6, Mariahilf;30958;15044;15914;21334;10286;11048;9624;4758;4866
7, Neubau;31326;15208;16118;21847;10486;11361;9479;4722;4757
8, Josefstadt;24189;11945;12244;16774;8044;8730;7415;3901;3514
9, Alsergrund;41382;19767;21615;27741;13220;14521;13641;6547;7094
10, Favoriten;212255;106976;105279;127366;61930;65436;84889;45046;39843
11, Simmering;106078;52333;53745;71309;34657;36652;34769;17676;17093
12, Meidling;97909;48366;49543;61858;29742;32116;36051;18624;17427
13, Hietzing;53959;25265;28694;42241;19638;22603;11718;5627;6091
14, Penzing;92989;45256;47733;67539;32152;35387;25450;13104;12346
15, Rudolfsheim-Fünfhaus;75635;38436;37199;43016;20873;22143;32619;17563;15056
16, Ottakring;101638;50905;50733;63190;30267;32923;38448;20638;17810
17, Hernals;56014;27492;28522;36349;17122;19227;19665;10370;9295
18, Währing;50865;23761;27104;36487;16717;19770;14378;7044;7334
19, Döbling;73873;34636;39237;53963;25076;28887;19910;9560;10350
20, Brigittenau;84471;42087;42384;50480;24439;26041;33991;17648;16343
21, Floridsdorf;178185;86909;91276;128405;62159;66246;49780;24750;25030
22, Donaustadt;203823;98091;105732;155015;74422;80593;48808;23669;25139
23, Liesing;115174;55142;60032;88444;41784;46660;26730;13358;13372
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
