Bevölkerung nach Staatsangehörigkeit der EU, Geschlecht und Gemeindebezirken 2022;;;;;;;;;
Gemeindebezirk;Bevölkerung zum Stichtag 1, 1,;;;;;;;;
;Insgesamt;fremde Staatsangehörigkeit;;;;;;;
;;insgesamt;;EU;;;nicht EU;;
;;;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;absolut;%;;Männer;Frauen;;Männer;Frauen
Wien;1931593;621727;32,1872671934512;273291;136279;137012;348436;180945;167491
1, Innere Stadt;15700;4039;25,7261146496815;2054;1029;1025;1985;879;1106
2, Leopoldstadt;104688;36822;35,173085740486;16889;8581;8308;19933;10271;9662
3, Landstraße;93744;31537;33,6416197303294;16317;8067;8250;15220;7602;7618
4, Wieden;33007;10956;33,1929590692883;5809;2877;2932;5147;2520;2627
5, Margareten;53731;21008;39,0984720180157;9930;4982;4948;11078;5811;5267
6, Mariahilf;30958;9624;31,087279540022;5410;2606;2804;4214;2152;2062
7, Neubau;31326;9479;30,2592096022473;5590;2750;2840;3889;1972;1917
8, Josefstadt;24189;7415;30,6544296994502;4265;2123;2142;3150;1778;1372
9, Alsergrund;41382;13641;32,9636073655212;7837;3722;4115;5804;2825;2979
10, Favoriten;212255;84889;39,9938752915126;30267;15627;14640;54622;29419;25203
11, Simmering;106078;34769;32,7768246007655;13491;6727;6764;21278;10949;10329
12, Meidling;97909;36051;36,8209255533199;14838;7492;7346;21213;11132;10081
13, Hietzing;53959;11718;21,7164884449304;6573;3101;3472;5145;2526;2619
14, Penzing;92989;25450;27,3688285711213;11800;5871;5929;13650;7233;6417
15, Rudolfsheim-Fünfhaus;75635;32619;43,1268592582799;14246;7550;6696;18373;10013;8360
16, Ottakring;101638;38448;37,8283712784588;16191;8449;7742;22257;12189;10068
17, Hernals;56014;19665;35,1072946049202;9190;4761;4429;10475;5609;4866
18, Währing;50865;14378;28,2669812248108;7832;3728;4104;6546;3316;3230
19, Döbling;73873;19910;26,951660281835;9545;4512;5033;10365;5048;5317
20, Brigittenau;84471;33991;40,2398456274935;12203;6119;6084;21788;11529;10259
21, Floridsdorf;178185;49780;27,9372562224654;19721;9586;10135;30059;15164;14895
22, Donaustadt;203823;48808;23,9462671043013;20692;9795;10897;28116;13874;14242
23, Liesing;115174;26730;23,2083629985934;12601;6224;6377;14129;7134;6995
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
