Natürliche Bevölkerungsbewegung für Wien seit 1961 – Kennziffern;;;;;;;;;;
Jahr (1);Fertilität;;;;;;Mortalität;;Lebenserwartung bei Geburt;
;Geburtenrate;"Gesamt-
fertilitätsrate";allgemeine Fertilitätsrate;Reproduktionsrate;;Durchschnittliches Fertilitätsalter;Sterberate;"Säuglings-
sterblichkeit";Geschlecht;
;;;;brutto;netto;;;;Männer;Frauen
1961;11,468090102295093;1,82922618974662;57,96637658104947;0,8892689303581041;0,8549385106897438;26,658293853637097;15,472732167817552;31,25;66,7204291569696;73,3124006560414
1962;12,032953674667095;1,8740578048301675;60,196817420435515;0,9110635900973104;0,8739001841204681;26,611063212199614;16,122926931350612;30,84;66,76147443137133;72,9938471048352
1963;12,368810051736881;1,8943056074010396;61,03932814793876;0,9209069554696352;0,8850943877436175;26,667237158112894;16,108647450110865;29,28;66,79194473074922;73,12641287627707
1964;12,29765603668094;1,863634160602123;60,4721507439299;0,9059961889169289;0,8700402260307565;26,58351477675516;15,893512357751337;28,52;67,06811643499849;73,45067802310004
1965;12,193511847399717;1,8163953088527718;60,46403485156269;0,8830312634189459;0,8488445400146231;26,338970103830775;16,93234834304216;28,89;66,63859702832538;73,04837769439514
1966;12,469906501923147;1,846515199042323;62,70846196567805;0,8976738935548484;0,8644897750657025;26,234223512307217;16,511782583962557;28,1;67,07959774537878;73,39788614317574
1967;12,630566253654685;1,8516614907347837;64,53470624703006;0,9001757368666912;0,8669014043398606;26,097747978650194;17,11996974626155;26,53;67,00557987080168;73,29663205583388
1968;12,498262678144675;1,8312195434598437;64,87271566515044;0,8902379890422186;0,8596257311745564;25,99081240749678;16,954416364403414;24,85;67,33943374804551;73,72251916780698
1969;11,77492947403962;1,738510023677735;61,929298516297436;0,8451677314913637;0,8175127022318882;25,940883553695382;17,442221603114888;24,81;66,84938954664395;73,42492912125714
1970;11,022576197593171;1,6456008387811512;58,52854296901834;0,8000004077691547;0,7725160554399338;25,799549938497883;17,358154870522313;25,77;66,95213870772841;73,52179411233692
1971;10,605417778720591;1,5954606436522765;56,55413715315458;0,7756250090677086;0,7496865232609271;25,847115769649122;17,584840875566716;26,46;66,71739767451052;73,51572658877207
1972;9,99511202331454;1,5201994521157962;53,17594964071189;0,7390371668039846;0,7131941993271094;25,66108131059848;16,5723340519603;25,62;67,45222424676761;73,95278728457654
1973;9,676816921897423;1,4785797072041014;51,14883557818446;0,7188039412756935;0,6963180377758951;25,53509694096733;16,196013289036543;25,01;67,53077352754563;74,43373907900853
1974;9,903482383252182;1,515634756646407;51,91528997787811;0,7368180635130807;0,7145627178596069;25,647183504799887;16,493876030018928;23,05;67,86810162226259;74,42789488116688
1975;9,16652700583585;1,3983640218636506;47,568703524086644;0,6798074972599176;0,6585552709314528;25,58602022149318;16,899479714082606;21,68;67,71386746896616;74,3152855707776
1976;8,429642608057465;1,272873193621236;43,13046612051046;0,6188007747307905;0,6018888580656309;25,868480649540775;16,836016283221902;18,58;67,98433645576817;74,76774929901535
1977;8,294860191009327;1,2434458296479876;41,685778355375476;0,6044948126630955;0,5892579693936868;25,889829810238325;16,388798040721948;18,57;68,35963031933699;75,12495353903743
1978;8,52813440426771;1,2672443220637115;42,01948035583781;0,6160643276926162;0,5998963364816781;25,954099840701186;16,758337132068764;16,79;68,1642455984593;75,23057385954974
1979;8,743527916651061;1,2819118985629128;42,207114111951725;0,62319489478022;0,6048076061158717;26,07593484367564;16,36150419676425;18,54;68,45802202825428;75,23785799432243
1980;9,36004685548839;1,3537341194025967;44,24512271192274;0,6581108990775871;0,6419737548783998;26,126181792010332;16,480026938005537;15;68,87714268156213;75,34208882407061
1981;9,868214908661729;1,4110561342491292;45,793826300324135;0,6859777026004518;0,6702680760972287;26,21719508629749;16,480969888138038;14,09;69,17996257842465;75,68220632340244
1982;9,875417206270992;1,4082945211916074;45,14578294405737;0,6846351585763769;0,6697455097516152;26,221077026705142;16,209845541552166;14,93;68,97013151134101;75,98463348021934
1983;9,636228232122487;1,3658736818131914;43,42450333504976;0,6640124850817654;0,6494330208509127;26,432376308079824;16,39387825467678;14,75;68,8527848008689;75,87969893939832
1984;9,643639472137629;1,3505181605430974;43,19124689301193;0,6565474771721426;0,6411524547220578;26,636466285429;15,665571405673987;13,781163434903048;69,10020068897947;76,36253469792037
1985;9,614115796743135;1,3257406716655327;43,219560667881176;0,644502028033803;0,6327045671510508;26,87042913984703;15,893132133304844;11,495854525186372;69,73387597001572;76,62961533234555
1986;9,769388934431737;1,3237141841630433;44,13836233591179;0,6435168615279744;0,631396309786134;26,870734218389952;15,339129967343538;10,385858724809134;70,29944727268382;77,07420975113186
1987;9,985285055745058;1,3342192344948467;45,36262256964097;0,6486238378681802;0,6365222074269578;27,01170280361634;14,945938574367712;11,60045862278276;70,53899101129169;77,2780272350006
1988;10,482785928137664;1,3813985890863143;47,83443698434403;0,6715598391280089;0,6615207085031315;27,020812270583104;14,575025286093119;9,378814158155071;70,9246229654276;77,83057817255971
1989;10,704369109692754;1,3812942067796652;48,898173028551795;0,6715090942049904;0,6598076728860621;27,14827298153012;14,017546274690188;9,97428015808293;71,16756514886427;77,99574427838773
1990;10,934011345305374;1,3852629479434813;49,693210577103976;0,6734384773667872;0,6627945704349755;27,274918894419528;13,90788082087878;8,671226184660478;71,46797287585954;78,09643076414044
1991;11,381734352594442;1,424679084724087;51,23199619092965;0,6926004301040773;0,6811693855955553;27,030199064236488;13,786205068230245;8,480483271375464;71,28693907044212;78,0594488942247
1992;11,390352416601797;1,4189962554604842;51,19730661096569;0,6898377518038329;0,6787200510152094;27,125195784957057;13,659011006033415;9,927124576806106;70,8973843803818;78,1408478988388
1993;11,233771156050226;1,4025873514848837;50,73799658215699;0,6818606472945472;0,6694165925367334;27,164790349493238;13,060822004430273;8,131956860257223;71,49498243461443;78,44997764306558
1994;11,037094962093944;1,3758870703987613;50,10791525349073;0,6688804425856886;0,658830149387461;27,456911638840975;12,698092375517364;5,918893577121425;72,1783456936831;78,81558367267327
1995;10,553403036026037;1,3330711568176483;48,1194330186725;0,6480657057937036;0,6378033635447368;27,56307311408781;12,83918407611482;7,687104114138122;72,17889366458714;78,77052553237102
1996;10,542707311674546;1,3430113864088056;48,04913187921746;0,6528980974277129;0,6451397206735794;27,77102898875787;12,55751851075334;5,356483191725157;72,80327529946284;79,15641416678838
1997;10,05810412035214;1,2885873626282798;45,79609293313563;0,6264401373982887;0,6183544838746892;27,94493098357672;11,969825038938259;4,579168010319252;73,78520991359562;79,68773574424738
1998;9,882897236032258;1,2861189316837391;45,04158253090234;0,625240122354759;0,6178037269126215;27,9592340067361;11,729737303704319;6,9576632753528065;73,523350496712;80,25118300432932
1999;9,807905597695333;1,2926483285490424;44,738364542256015;0,6284143551526701;0,6212532388177665;28,11461707074252;11,636574939853215;5,080160981724616;74,05272823906344;80,0629814155041
2000;10,02233058025987;1,343733500499893;45,79664721529167;0,6532491494894959;0,64589082165907;28,06571397213173;11,338055589220467;5,145687270856113;74,38962177694088;80,34782158699582
2001;9,706656358637497;1,310817212812251;44,50032127547831;0,6372470650521396;0,6304289434757843;28,25347417428422;10,84327017105526;6,329531219094086;74,7810754482725;80,65917958473426
2002;10,37878735829205;1,4079188002264593;47,57125063842063;0,6844525037561786;0,6760447874870561;28,440532813226632;10,687093191676912;5,721938154370587;75,31750673609692;80,52380282891401
2003;10,298060321672278;1,3922494498528084;46,983083838414785;0,6768349294374372;0,667594386205507;28,656102822557763;10,6066398314931;6,308382870314206;75,01242569459545;80,53585142334504
2004;10,403230889498307;1,4087512835588176;47,336895910291304;0,6848572112585405;0,6759965021277067;28,686889067410757;9,864430428740592;5,695301376364499;75,66995115387003;81,24395107815552
2005;10,197081131212038;1,3766739077788233;46,3933114923563;0,6692629595424517;0,6615288095542432;28,908078790534404;9,76276100895671;5,734767025089606;75,89603626401234;81,53773216509143
2006;10,329497977011705;1,3947411931158493;47,05270951097436;0,678046277645041;0,6702301903771827;29,172450972816485;9,535106945119033;4,266012155212716;76,32874746413127;81,66885290028702
2007;10,138391140601277;1,3660402899320416;46,22639572368196;0,6640934807642399;0,6574163959357219;29,362430726365492;9,501927142435013;5,448623038199585;76,5594297834525;81,8094148717017
2008;10,37347959491786;1,3946434520902316;47,4053257666703;0,6779987613467338;0,6711287615872105;29,530117578658263;9,374640379821598;5,525179856115108;76,94657624853787;82,1015312730936
2009;10,184658534297375;1,3709812555921146;46,718103605578726;0,6664955058785195;0,6586753183359296;29,619040244443642;9,696621381726986;5,4797714818701175;76,31169094203568;81,81070344977255
2010;10,609349013316976;1,425204485287943;48,899446452775194;0,6928558508935065;0,6846299591749812;29,80162696584009;9,605562698309722;5,781310801045083;76,5163585517712;81,85388054858969
2011;10,634344969049856;1,4237747216378547;49,269231812142415;0,6921607786280286;0,6849994282312618;30,069232095168225;9,316318283837953;5,283434232250963;76,98485546168362;82,28654104990044
2012;10,574112355660688;1,4049041992809912;49,102613776623436;0,6829869709679102;0,6768603926977808;30,359445075427494;9,496728118382586;4,3252121543936495;77,14411279916207;82,27810020441567
2013;10,658660268391122;1,403612624316801;49,49906068706397;0,6823590784233354;0,6763587337480715;30,484622477030427;9,313425686339084;4,654646621368573;77,26713259233517;82,41905728095935
2014;10,813840452480056;1,4092556990443657;50,32991441824002;0,6851024302597791;0,6781082650627873;30,607529617057917;8,991320924507562;4,517133956386293;77,70235555568586;82,62469275507591
2015;10,985898394219767;1,4224684033683657;51,211737254316276;0,6915257187011987;0,6862668670482328;30,77074791269793;9,109074148957697;4,264713260749586;77,63116057363241;82,76560543652835
2016;11,226269167664741;1,4483933396011253;52,493547594513586;0,7041289934862057;0,6980616918785066;30,894395410778035;8,650659537917393;4,229955777735051;78,31552791633739;82,87768964575378
2017;10,95802720361142;1,413939643151104;51,43239764872254;0,6873795056641245;0,6809587649374589;30,967654186877667;8,746823424966658;4,082426127527216;78,42065035566758;82,86981088913025
2018;10,590110774551151;1,362532570948719;49,893523714550184;0,6623882211709864;0,6571697032240691;31,12159478152501;8,924802906969024;3,8926040523006287;78,18467812611773;82,7322019883134
2019;10,4742095249104;1,3479630302482921;49,53582681469849;0,6553053136841479;0,649299375642561;31,348851543861475;8,485502073102731;4,6651617757712565;78,55763437069322;83,37508531668011
2020;10,002322266040835;1,28884997511661;47,41318632836466;0,626567805112596;0,6204800695190286;31,338116102233062;9,34702291106687;4,6982668615577365;77,84023511511676;82,71617638848569
2021;10,062783891332954;1,2965903746552778;47,750319035349335;0,6303307606491385;0,6254654027592819;31,604282301825823;9,401080089810826;3,564233689756702;77,64868105810285;82,5886790395213
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;;
(1) Vor 2009 Sterbefälle von Wienerinnen und Wienern im Ausland,;;;;;;;;;;
;;;;;;;;;;
