Wanderungsströme nach Bundesländern seit 2013;;;;;;;;;;
Jahr;Österreich;Bundesländer;;;;;;;;
;;Burgenland;Kärnten;Niederösterr,;Oberösterr,;Salzburg;Steiermark;Tirol;Vorarlberg;Wien
Zuzüge;;;;;;;;;;
2013;255019;8966;11275;43512;28445;15335;25774;18914;8764;94034
2014;278680;9366;12605;48637;33279;16645;28435;20113;9462;100138
2015;337818;11021;16135;59343;42281;21886;34712;24766;12436;115238
2016;306602;10441;16544;54780;36666;18820;31673;21866;10906;104906
2017;272803;9345;12076;47393;31131;17426;27069;19548;9889;98926
2018;258503;9112;11601;47061;30534;16677;26553;18817;9613;88535
2019;262641;9210;11568;46955;31156;17459;26773;18353;9921;91246
2020;252882;9628;12596;48267;29527;17238;24718;17777;9321;83810
2021;281006;10268;14900;52559;35248;21127;29973;19114;9744;88073
Wegzüge;;;;;;;;;;
2013;200291;7261;9828;34150;22328;13798;20283;14216;7104;71323
2014;206356;7430;9848;35636;23378;13587;20719;14894;7418;73446
2015;224751;7357;11938;39830;27019;15715;22666;16056;8117;76053
2016;241926;8625;14862;41273;28187;16586;25358;16658;7748;82629
2017;228173;7456;11048;40623;24378;15292;22790;16374;8077;82135
2018;223202;7266;10044;37309;23582;14969;22135;16769;8272;82856
2019;222028;7063;9611;37467;24406;15337;21751;16680;8354;81359
2020;212818;6647;9535;37676;24040;15461;20488;15984;8018;74969
2021;228518;7347;10590;40178;25733;19629;21934;16416;8199;78492
Saldo;;;;;;;;;;
2013;54728;1705;1447;9362;6117;1537;5491;4698;1660;22711
2014;72324;1936;2757;13001;9901;3058;7716;5219;2044;26692
2015;113067;3664;4197;19513;15262;6171;12046;8710;4319;39185
2016;64676;1816;1682;13507;8479;2234;6315;5208;3158;22277
2017;44630;1889;1028;6770;6753;2134;4279;3174;1812;16791
2018;35301;1846;1557;9752;6952;1708;4418;2048;1341;5679
2019;40613;2147;1957;9488;6750;2122;5022;1673;1567;9887
2020;40064;2981;3061;10591;5487;1777;4230;1793;1303;8841
2021;52488;2921;4310;12381;9515;1498;8039;2698;1545;9581
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
