Wanderungsströme in Wien nach Herkunft bzw, Ziel und Staatsangehörigkeit seit 2013;;;;;;;;;
Jahr;Wanderungsströme;;;;;;;;
;gegenüber dem Ausland;;;gegenüber den Bundesländern;;;"Saldo
insgesamt";innerhalb Wiens;Wanderungs-fälle
;Zuzüge;Wegzüge;Saldo;Zuzüge;Wegzüge;Saldo;;;
2013;61714;39372;22342;32320;31951;369;22711;153276;318633
2014;66374;40705;25669;33764;32741;1023;26692;158010;331594
2015;78063;40121;37942;37175;35932;1243;39185;173257;364548
2016;66141;45002;21139;38765;37627;1138;22277;180193;367728
2017;61894;44698;17196;37032;37437;-405;16791;184953;366014
2018;56524;44932;11592;32011;37924;-5913;5679;186834;358225
2019;58370;43844;14526;32876;37515;-4639;9887;188465;361070
2020;49641;37369;12272;34169;37600;-3431;8841;178849;337628
2021;51183;39199;11984;36890;39293;-2403;9581;179660;346225
Staatsangehörigkeit Österreich;;;;;;;;;
2013;5460;7263;-1803;23418;24300;-882;-2685;85749;146190
2014;5436;6935;-1499;22687;24473;-1786;-3285;85901;145432
2015;5456;6894;-1438;23271;24701;-1430;-2868;88235;148557
2016;5029;6861;-1832;22027;25701;-3674;-5506;84370;143988
2017;5165;6762;-1597;21153;25766;-4613;-6210;84754;143600
2018;4975;6519;-1544;20835;26102;-5267;-6811;87256;145687
2019;5039;6349;-1310;21605;26006;-4401;-5711;90503;149502
2020;4696;5235;-539;21622;26551;-4929;-5468;87301;145405
2021;4477;5315;-838;20366;27709;-7343;-8181;86169;144036
Fremde Staatsangehörigkeit;;;;;;;;;
2013;56254;32109;24145;8902;7651;1251;25396;67527;172443
2014;60938;33770;27168;11077;8268;2809;29977;72109;186162
2015;72607;33227;39380;13904;11231;2673;42053;85022;215991
2016;61112;38141;22971;16738;11926;4812;27783;95823;223740
2017;56729;37936;18793;15879;11671;4208;23001;100199;222414
2018;51549;38413;13136;11176;11822;-646;12490;99578;212538
2019;53331;37495;15836;11271;11509;-238;15598;97962;211568
2020;44945;32134;12811;12547;11049;1498;14309;91548;192223
2021;46706;33884;12822;16524;11584;4940;17762;93491;202189
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
