Wanderungsströme in Wien nach Geschlecht seit 2002;;;;;;;;;
Jahr;Wanderungsströme;;;;;;;;
;Zuzüge;;;Wegzüge;;;Saldo;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
2002;69219;37527;31692;47731;26336;21395;21488;11191;10297
2003;69803;37897;31906;52709;30166;22543;17094;7731;9363
2004;76136;41890;34246;56478;31922;24556;19658;9968;9690
2005;72383;39367;33016;55202;31001;24201;17181;8366;8815
2006;65235;35135;30100;58463;32955;25508;6772;2180;4592
2007;70407;37573;32834;59598;33176;26422;10809;4397;6412
2008;69850;37407;32443;62405;34347;28058;7445;3060;4385
2009;73959;39886;34073;65081;36132;28949;8878;3754;5124
2010;77441;41720;35721;66464;36887;29577;10977;4833;6144
2011;80474;43833;36641;68653;38156;30497;11821;5677;6144
2012;90441;48637;41804;68127;37995;30132;22314;10642;11672
2013;94034;50978;43056;71323;39065;32258;22711;11913;10798
2014;100138;54652;45486;73446;40576;32870;26692;14076;12616
2015;115238;65028;50210;76053;42258;33795;39185;22770;16415
2016;104906;58188;46718;82629;45561;37068;22277;12627;9650
2017;98926;53709;45217;82135;45192;36943;16791;8517;8274
2018;88535;47512;41023;82856;45421;37435;5679;2091;3588
2019;91246;49301;41945;81359;44559;36800;9887;4742;5145
2020;83810;45185;38625;74969;40472;34497;8841;4713;4128
2021;88073;48593;39480;78492;42779;35713;9581;5814;3767
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
