Wanderungsströme nach Gemeindebezirken 2021;;;;;;;;
Gemeindebezirk;Wanderungsströme;;;;;;;
;Ausland;;übriges Österreich;;andere Gemeindebezirke;;"innerhalb der 
Gemeindebezirke";Wanderungssaldo
;Zuzüge;Wegzüge;Zuzüge;Wegzüge;Zuzüge;Wegzüge;;
Wien;51183;39199;36890;39293;127241;127241;52419;9581
1, Innere Stadt;667;520;260;330;827;1027;246;-123
2, Leopoldstadt;4160;3132;2179;1932;6430;8319;2588;-614
3, Landstraße;3294;2416;2182;2010;6588;7325;2339;313
4, Wieden;1405;1027;637;689;2962;3367;497;-79
5, Margareten;1905;1442;1350;1213;4292;5571;1017;-679
6, Mariahilf;1297;903;776;709;2713;3514;461;-340
7, Neubau;1144;904;796;665;2363;3133;445;-399
8, Josefstadt;1963;1303;853;1132;2097;2635;563;-157
9, Alsergrund;2358;1431;1311;1382;3221;4552;755;-475
10, Favoriten;5645;4429;4970;4129;12037;12857;9151;1237
11, Simmering;1951;1535;1508;2182;6104;5120;2908;726
12, Meidling;2517;1854;2077;2044;7917;7684;2429;929
13, Hietzing;872;758;733;988;3060;2616;1095;303
14, Penzing;1498;1449;1492;1894;5828;5755;1931;-280
15, Rudolfsheim-Fünfhaus;2929;2386;1977;1731;6623;7902;1615;-490
16, Ottakring;2872;2203;2164;2038;7214;8894;2732;-885
17, Hernals;1533;1346;1125;1181;4543;5258;996;-584
18, Währing;1374;1153;970;1104;3409;3938;1163;-442
19, Döbling;2009;1518;1117;1360;4283;4114;1783;417
20, Brigittenau;2900;2235;1831;1751;5612;7159;2166;-802
21, Floridsdorf;2505;1985;2543;3206;10760;6683;5806;3934
22, Donaustadt;3023;2328;2383;3289;11001;6103;6548;4687
23, Liesing;1362;942;1656;2334;7357;3715;3185;3384
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;
;;;;;;;;
;;;;;;;;
