Binnenwanderung nach Geschlecht und Gemeindebezirken 2021;;;;;;;;;
Gemeindebezirk;Wanderungsströme gegenüber den Bundesländern;;;;;;;;
;Zuzüge;;;Wegzüge;;;Saldo;;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;36890;21012;15878;39293;20391;18902;-2403;621;-3024
1, Innere Stadt;260;132;128;330;162;168;-70;-30;-40
2, Leopoldstadt;2179;1249;930;1932;1038;894;247;211;36
3, Landstraße;2182;1171;1011;2010;1014;996;172;157;15
4, Wieden;637;318;319;689;365;324;-52;-47;-5
5, Margareten;1350;783;567;1213;608;605;137;175;-38
6, Mariahilf;776;371;405;709;361;348;67;10;57
7, Neubau;796;414;382;665;321;344;131;93;38
8, Josefstadt;853;534;319;1132;837;295;-279;-303;24
9, Alsergrund;1311;630;681;1382;652;730;-71;-22;-49
10, Favoriten;4970;3346;1624;4129;2201;1928;841;1145;-304
11, Simmering;1508;884;624;2182;1139;1043;-674;-255;-419
12, Meidling;2077;1125;952;2044;1091;953;33;34;-1
13, Hietzing;733;353;380;988;461;527;-255;-108;-147
14, Penzing;1492;882;610;1894;970;924;-402;-88;-314
15, Rudolfsheim-Fünfhaus;1977;1242;735;1731;906;825;246;336;-90
16, Ottakring;2164;1297;867;2038;1073;965;126;224;-98
17, Hernals;1125;626;499;1181;599;582;-56;27;-83
18, Währing;970;493;477;1104;506;598;-134;-13;-121
19, Döbling;1117;556;561;1360;684;676;-243;-128;-115
20, Brigittenau;1831;1168;663;1751;927;824;80;241;-161
21, Floridsdorf;2543;1319;1224;3206;1654;1552;-663;-335;-328
22, Donaustadt;2383;1231;1152;3289;1641;1648;-906;-410;-496
23, Liesing;1656;888;768;2334;1181;1153;-678;-293;-385
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
