Binnenwanderungssaldo nach Gemeindebezirken 2021;;;;;;;;;
Gemeindebezirk;Insgesamt;Binnenwanderungssaldo gegenüber den Bundesländern;;;;;;;
;;Burgenland;Kärnten;Niederösterr,;Oberösterr,;Salzburg;Steiermark;Tirol;Vorarlberg
Wien;-2403;-858;758;-7808;1841;1419;900;1015;330
1, Innere Stadt;-70;-15;-9;-65;8;4;-4;–;11
2, Leopoldstadt;247;18;64;-237;165;113;76;38;10
3, Landstraße;172;-59;44;-190;109;91;71;67;39
4, Wieden;-52;-24;-1;-69;-8;3;11;20;16
5, Margareten;137;-4;43;-153;80;70;57;39;5
6, Mariahilf;67;-28;7;-77;56;21;45;25;18
7, Neubau;131;5;2;-21;35;42;29;28;11
8, Josefstadt;-279;-16;-45;-222;22;35;-57;5;-1
9, Alsergrund;-71;-16;67;-112;-11;47;-82;25;11
10, Favoriten;841;-80;251;-602;557;297;176;188;54
11, Simmering;-674;-138;25;-813;79;62;25;50;36
12, Meidling;33;-44;36;-388;122;128;82;82;15
13, Hietzing;-255;-22;4;-244;21;-6;-1;-8;1
14, Penzing;-402;-83;8;-550;110;40;36;40;-3
15, Rudolfsheim-Fünfhaus;246;-18;13;-180;134;93;105;71;28
16, Ottakring;126;-13;86;-357;118;109;104;65;14
17, Hernals;-56;-17;25;-215;36;24;35;55;1
18, Währing;-134;-17;25;-172;18;-17;11;12;6
19, Döbling;-243;-35;28;-291;14;24;21;21;-25
20, Brigittenau;80;35;33;-316;87;67;107;25;42
21, Floridsdorf;-663;-93;24;-848;40;86;38;63;27
22, Donaustadt;-906;-87;20;-1027;45;65;-2;69;11
23, Liesing;-678;-107;8;-659;4;21;17;35;3
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
